SNP,not_fixed,ref_fixed,alt_fixed,total,not_fixed_prop,ref_fixed_prop,alt_fixed_prop,not_fixed_exp,ref_fixed_exp,alt_fixed_exp,chi_sq,p.value,p.adj.BH,p.adj.bonf,p.adj.holm
29377169_2941532,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377170_9848985,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377173_24972,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377173_24992,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377174_325529,2,8,0,10,0.2,0.8,0,0.625,4.6875,4.6875,10.05333333,0.006560643,0.035444513,1,1
29377174_325616,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377179_256157,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377179_513871,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377193_1796194,3,3,4,10,0.3,0.3,0.4,0.625,4.6875,4.6875,9.733333333,0.007698986,0.040956242,1,1
29377193_1796200,3,3,4,10,0.3,0.3,0.4,0.625,4.6875,4.6875,9.733333333,0.007698986,0.040956242,1,1
29377193_960690,3,6,1,10,0.3,0.6,0.1,0.625,4.6875,4.6875,12.29333333,0.002140605,0.012413919,1,1
29377194_150940,5,3,2,10,0.5,0.3,0.2,0.625,4.6875,4.6875,32.77333333,7.64E-08,6.24E-07,0.00047703,0.000419007
29377207_339196,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377207_339210,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377235_550025,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29377235_550034,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29377235_550058,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29377235_550140,1,9,0,10,0.1,0.9,0,0.625,4.6875,4.6875,8.88,0.011795939,0.061390039,1,1
29377248_1910441,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29377260_1429644,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29377274_1586232,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377278_606208,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377303_1204339,1,1,8,10,0.1,0.1,0.8,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377315_3017991,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377315_3017995,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377349_1201555,2,3,5,10,0.2,0.3,0.5,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377402_2600106,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377402_6509376,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377402_6519390,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377418_2103555,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377419_919492,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377442_735919,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377442_735972,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377442_736105,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377442_736224,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377442_736349,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377442_736385,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29377459_1264289,6,2,2,10,0.6,0.2,0.2,0.625,4.6875,4.6875,49.30666667,1.96E-11,1.98E-10,1.23E-07,1.10E-07
29377459_1264303,6,3,1,10,0.6,0.3,0.1,0.625,4.6875,4.6875,49.73333333,1.59E-11,1.64E-10,9.90E-08,8.95E-08
29377459_1264306,5,3,2,10,0.5,0.3,0.2,0.625,4.6875,4.6875,32.77333333,7.64E-08,6.24E-07,0.00047703,0.000419007
29377459_1264347,5,3,2,10,0.5,0.3,0.2,0.625,4.6875,4.6875,32.77333333,7.64E-08,6.24E-07,0.00047703,0.000419007
29377459_1264405,6,2,2,10,0.6,0.2,0.2,0.625,4.6875,4.6875,49.30666667,1.96E-11,1.98E-10,1.23E-07,1.10E-07
29377459_1264408,7,2,1,10,0.7,0.2,0.1,0.625,4.6875,4.6875,69.46666667,8.23E-16,1.12E-14,5.14E-12,4.76E-12
29377459_1264447,6,3,1,10,0.6,0.3,0.1,0.625,4.6875,4.6875,49.73333333,1.59E-11,1.64E-10,9.90E-08,8.95E-08
29377459_1264982,7,3,0,10,0.7,0.3,0,0.625,4.6875,4.6875,70.32,5.37E-16,7.60E-15,3.35E-12,3.12E-12
29377464_1053210,7,1,2,10,0.7,0.1,0.2,0.625,4.6875,4.6875,69.46666667,8.23E-16,1.12E-14,5.14E-12,4.76E-12
29377477_15525,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377477_15526,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377477_15554,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377477_178155,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377513_1853532,2,3,5,10,0.2,0.3,0.5,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377513_1853539,2,3,5,10,0.2,0.3,0.5,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377513_1888253,2,3,5,10,0.2,0.3,0.5,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377513_2158094,2,3,5,10,0.2,0.3,0.5,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377513_2158159,2,3,5,10,0.2,0.3,0.5,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377513_614528,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377513_614565,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377513_614591,2,4,4,10,0.2,0.4,0.4,0.625,4.6875,4.6875,3.226666667,0.199222431,0.595485182,1,1
29377529_2093700,3,5,2,10,0.3,0.5,0.2,0.625,4.6875,4.6875,10.58666667,0.005024982,0.027699549,1,1
29377529_2093703,3,5,2,10,0.3,0.5,0.2,0.625,4.6875,4.6875,10.58666667,0.005024982,0.027699549,1,1
29377529_3414489,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377552_213210,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377567_854327,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377622_685449,5,4,1,10,0.5,0.4,0.1,0.625,4.6875,4.6875,33.62666667,4.99E-08,4.17E-07,0.000311348,0.000274476
29377622_685473,4,5,1,10,0.4,0.5,0.1,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000168971,0.1596777,0.135751634
29377622_685534,5,4,1,10,0.5,0.4,0.1,0.625,4.6875,4.6875,33.62666667,4.99E-08,4.17E-07,0.000311348,0.000274476
29377622_685555,5,4,1,10,0.5,0.4,0.1,0.625,4.6875,4.6875,33.62666667,4.99E-08,4.17E-07,0.000311348,0.000274476
29377676_179234,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377684_4261458,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377713_250885,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377713_528259,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377752_561667,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377768_2304971,4,5,1,10,0.4,0.5,0.1,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000168971,0.1596777,0.135751634
29377784_3399789,2,7,1,10,0.2,0.7,0.1,0.625,4.6875,4.6875,7.066666667,0.029207395,0.139658351,1,1
29377793_867919,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377816_1899602,1,9,0,10,0.1,0.9,0,0.625,4.6875,4.6875,8.88,0.011795939,0.061390039,1,1
29377821_2798228,3,4,3,10,0.3,0.4,0.3,0.625,4.6875,4.6875,9.733333333,0.007698986,0.040956242,1,1
29377945_249972,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377945_250031,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377950_1027584,2,3,5,10,0.2,0.3,0.5,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29377962_1933492,3,5,2,10,0.3,0.5,0.2,0.625,4.6875,4.6875,10.58666667,0.005024982,0.027699549,1,1
29377975_1061379,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29377981_257686,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377981_257689,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377981_257729,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29377995_2368212,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29378002_268484,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378006_5104591,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378006_5104634,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378006_5104769,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378015_4096550,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378015_5808618,1,2,7,10,0.1,0.2,0.7,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378052_2961335,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378066_2201787,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378074_2936792,4,4,2,10,0.4,0.4,0.2,0.625,4.6875,4.6875,19.86666667,4.85E-05,0.000312836,0.302825704,0.256091545
29378099_1579541,1,9,0,10,0.1,0.9,0,0.625,4.6875,4.6875,8.88,0.011795939,0.061390039,1,1
29378099_1579556,1,9,0,10,0.1,0.9,0,0.625,4.6875,4.6875,8.88,0.011795939,0.061390039,1,1
29378111_69282,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378116_3611098,1,1,8,10,0.1,0.1,0.8,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29378133_44550,7,3,0,10,0.7,0.3,0,0.625,4.6875,4.6875,70.32,5.37E-16,7.60E-15,3.35E-12,3.12E-12
29378151_2310683,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378151_2374094,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378151_2438341,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378151_2495605,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378151_2834409,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378162_3154686,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378162_5367267,2,6,2,10,0.2,0.6,0.2,0.625,4.6875,4.6875,4.933333333,0.084867279,0.337864595,1,1
29378173_1419072,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378174_1580253,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378174_1934915,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378174_2211183,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378174_707660,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378174_735036,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378212_3244465,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378212_3526165,4,3,3,10,0.4,0.3,0.3,0.625,4.6875,4.6875,19.44,6.01E-05,0.000383269,0.374836803,0.316148413
29378212_3526216,5,5,0,10,0.5,0.5,0,0.625,4.6875,4.6875,35.33333333,2.13E-08,1.82E-07,0.000132632,0.000117498
29378215_546460,5,5,0,10,0.5,0.5,0,0.625,4.6875,4.6875,35.33333333,2.13E-08,1.82E-07,0.000132632,0.000117498
29378234_871500,7,3,0,10,0.7,0.3,0,0.625,4.6875,4.6875,70.32,5.37E-16,7.60E-15,3.35E-12,3.12E-12
29378241_30176,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378241_30183,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378241_30201,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378269_312491,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378279_2881874,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378286_519560,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378290_19537,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378326_32686,7,1,2,10,0.7,0.1,0.2,0.625,4.6875,4.6875,69.46666667,8.23E-16,1.12E-14,5.14E-12,4.76E-12
29378326_32699,5,4,1,10,0.5,0.4,0.1,0.625,4.6875,4.6875,33.62666667,4.99E-08,4.17E-07,0.000311348,0.000274476
29378326_32725,5,3,2,10,0.5,0.3,0.2,0.625,4.6875,4.6875,32.77333333,7.64E-08,6.24E-07,0.00047703,0.000419007
29378329_62024,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378329_62045,2,5,3,10,0.2,0.5,0.3,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378329_65968,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378336_263032,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378336_263036,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378336_263037,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378336_263117,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378336_263118,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378336_263192,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378336_263224,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378336_263248,4,6,0,10,0.4,0.6,0,0.625,4.6875,4.6875,23.28,8.81E-06,5.99E-05,0.054953685,0.047062899
29378365_883679,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378370_2627719,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378397_88052,4,2,4,10,0.4,0.2,0.4,0.625,4.6875,4.6875,19.86666667,4.85E-05,0.000312836,0.302825704,0.256091545
29378410_3043937,9,1,0,10,0.9,0.1,0,0.625,4.6875,4.6875,119.8133333,9.61E-27,3.37E-25,6.00E-23,5.83E-23
29378467_532476,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378467_532493,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378467_532549,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378490_171721,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378511_1793164,2,6,2,10,0.2,0.6,0.2,0.625,4.6875,4.6875,4.933333333,0.084867279,0.337864595,1,1
29378511_759609,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378511_759648,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378511_759737,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378540_1394035,2,8,0,10,0.2,0.8,0,0.625,4.6875,4.6875,10.05333333,0.006560643,0.035444513,1,1
29378540_1406198,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29378540_1466468,2,8,0,10,0.2,0.8,0,0.625,4.6875,4.6875,10.05333333,0.006560643,0.035444513,1,1
29378540_1533097,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29378567_411658,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378590_3253996,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378590_3254073,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378590_3254790,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378590_3257688,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378613_474320,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378653_2222980,1,6,3,10,0.1,0.6,0.3,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378657_733474,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378694_927041,2,8,0,10,0.2,0.8,0,0.625,4.6875,4.6875,10.05333333,0.006560643,0.035444513,1,1
29378734_446212,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378735_10577929,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378735_9348403,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378750_52614,1,7,2,10,0.1,0.7,0.2,0.625,4.6875,4.6875,2.906666667,0.233789689,0.632631248,1,1
29378800_156055,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378800_156149,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378819_2475445,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378827_218986,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378829_2115934,1,8,1,10,0.1,0.8,0.1,0.625,4.6875,4.6875,5.466666667,0.065002254,0.271677203,1,1
29378831_45429,5,4,1,10,0.5,0.4,0.1,0.625,4.6875,4.6875,33.62666667,4.99E-08,4.17E-07,0.000311348,0.000274476
29378837_110832,4,5,1,10,0.4,0.5,0.1,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000168971,0.1596777,0.135751634
29378840_1215632,2,3,5,10,0.2,0.3,0.5,0.625,4.6875,4.6875,3.653333333,0.160949172,0.514687015,1,1
29378847_255176,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378876_4667764,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378876_4675417,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378876_4712625,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378876_4712676,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378876_4712761,1,3,6,10,0.1,0.3,0.6,0.625,4.6875,4.6875,1.2,0.548811636,0.815201147,1,1
29378878_1165758,1,5,4,10,0.1,0.5,0.4,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
29378882_308915,1,4,5,10,0.1,0.4,0.5,0.625,4.6875,4.6875,0.346666667,0.840857282,0.905739589,1,1
