SNP,s_giganteum_chr_name,LG,WRC_scaffold,map_position,WRC_scaffold_length,position,accurate_pos,distance_from_origin
29380894_751881,CM021100.1,1,29380894,126591480,2622210,751881,127343361,88072806
29380894_752173,CM021100.1,1,29380894,126591480,2622210,752173,127343653,88073098
29380894_752217,CM021100.1,1,29380894,126591480,2622210,752217,127343697,88073142
29380894_774620,CM021100.1,1,29380894,126591480,2622210,774620,127366100,88095545
29382485_844321,CM021100.1,1,29382485,126591482,2426567,844321,127435803,88165248
29382485_844333,CM021100.1,1,29382485,126591482,2426567,844333,127435815,88165260
29382485_844344,CM021100.1,1,29382485,126591482,2426567,844344,127435826,88165271
29382485_844354,CM021100.1,1,29382485,126591482,2426567,844354,127435836,88165281
29382485_844355,CM021100.1,1,29382485,126591482,2426567,844355,127435837,88165282
29382485_844411,CM021100.1,1,29382485,126591482,2426567,844411,127435893,88165338
29380894_989549,CM021100.1,1,29380894,126591480,2622210,989549,127581029,88310474
29381438_1052363,CM021100.1,1,29381438,126591482,2067508,1052363,127643845,88373290
29381438_1052478,CM021100.1,1,29381438,126591482,2067508,1052478,127643960,88373405
29381438_1052516,CM021100.1,1,29381438,126591482,2067508,1052516,127643998,88373443
29381438_1064714,CM021100.1,1,29381438,126591482,2067508,1064714,127656196,88385641
29381438_1065093,CM021100.1,1,29381438,126591482,2067508,1065093,127656575,88386020
29381438_1065102,CM021100.1,1,29381438,126591482,2067508,1065102,127656584,88386029
29381438_1074300,CM021100.1,1,29381438,126591482,2067508,1074300,127665782,88395227
29378074_1227167,CM021100.1,1,29378074,126591484,5074968,1227167,127818651,88548096
29378074_1227230,CM021100.1,1,29378074,126591484,5074968,1227230,127818714,88548159
29378074_1227239,CM021100.1,1,29378074,126591484,5074968,1227239,127818723,88548168
29381438_1251089,CM021100.1,1,29381438,126591482,2067508,1251089,127842571,88572016
29381438_1251151,CM021100.1,1,29381438,126591482,2067508,1251151,127842633,88572078
29377172_1263340,CM021100.1,1,29377172,126591480,2120019,1263340,127854820,88584265
29381438_1294308,CM021100.1,1,29381438,126591482,2067508,1294308,127885790,88615235
29381438_1294320,CM021100.1,1,29381438,126591482,2067508,1294320,127885802,88615247
29382485_1359491,CM021100.1,1,29382485,126591482,2426567,1359491,127950973,88680418
29382485_1359518,CM021100.1,1,29382485,126591482,2426567,1359518,127951000,88680445
29380894_1368472,CM021100.1,1,29380894,126591480,2622210,1368472,127959952,88689397
29380894_1372299,CM021100.1,1,29380894,126591480,2622210,1372299,127963779,88693224
29381438_1422727,CM021100.1,1,29381438,126591482,2067508,1422727,128014209,88743654
29381438_1422824,CM021100.1,1,29381438,126591482,2067508,1422824,128014306,88743751
29381438_1422836,CM021100.1,1,29381438,126591482,2067508,1422836,128014318,88743763
29381438_1422863,CM021100.1,1,29381438,126591482,2067508,1422863,128014345,88743790
29381438_1422900,CM021100.1,1,29381438,126591482,2067508,1422900,128014382,88743827
29381438_1422958,CM021100.1,1,29381438,126591482,2067508,1422958,128014440,88743885
29381438_1422973,CM021100.1,1,29381438,126591482,2067508,1422973,128014455,88743900
29381438_1422974,CM021100.1,1,29381438,126591482,2067508,1422974,128014456,88743901
29378074_1575074,CM021100.1,1,29378074,126591484,5074968,1575074,128166558,88896003
29377172_1590794,CM021100.1,1,29377172,126591480,2120019,1590794,128182274,88911719
29377172_1590869,CM021100.1,1,29377172,126591480,2120019,1590869,128182349,88911794
29377172_1611561,CM021100.1,1,29377172,126591480,2120019,1611561,128203041,88932486
29377172_1611597,CM021100.1,1,29377172,126591480,2120019,1611597,128203077,88932522
29377172_1620210,CM021100.1,1,29377172,126591480,2120019,1620210,128211690,88941135
29378074_1781661,CM021100.1,1,29378074,126591484,5074968,1781661,128373145,89102590
29378074_1793278,CM021100.1,1,29378074,126591484,5074968,1793278,128384762,89114207
29380894_1903395,CM021100.1,1,29380894,126591480,2622210,1903395,128494875,89224320
29380894_1903475,CM021100.1,1,29380894,126591480,2622210,1903475,128494955,89224400
29380894_1903478,CM021100.1,1,29380894,126591480,2622210,1903478,128494958,89224403
29377172_2064914,CM021100.1,1,29377172,126591480,2120019,2064914,128656394,89385839
29377172_2064976,CM021100.1,1,29377172,126591480,2120019,2064976,128656456,89385901
29377172_2065043,CM021100.1,1,29377172,126591480,2120019,2065043,128656523,89385968
29377172_2065107,CM021100.1,1,29377172,126591480,2120019,2065107,128656587,89386032
29377172_2065154,CM021100.1,1,29377172,126591480,2120019,2065154,128656634,89386079
29377172_2068093,CM021100.1,1,29377172,126591480,2120019,2068093,128659573,89389018
29380894_2113454,CM021100.1,1,29380894,126591480,2622210,2113454,128704934,89434379
29380894_2113461,CM021100.1,1,29380894,126591480,2622210,2113461,128704941,89434386
29380894_2113471,CM021100.1,1,29380894,126591480,2622210,2113471,128704951,89434396
29380894_2113485,CM021100.1,1,29380894,126591480,2622210,2113485,128704965,89434410
29380894_2113496,CM021100.1,1,29380894,126591480,2622210,2113496,128704976,89434421
29380894_2116111,CM021100.1,1,29380894,126591480,2622210,2116111,128707591,89437036
29380894_2116156,CM021100.1,1,29380894,126591480,2622210,2116156,128707636,89437081
29380894_2116165,CM021100.1,1,29380894,126591480,2622210,2116165,128707645,89437090
29380894_2116804,CM021100.1,1,29380894,126591480,2622210,2116804,128708284,89437729
29380894_2116810,CM021100.1,1,29380894,126591480,2622210,2116810,128708290,89437735
29378074_2163387,CM021100.1,1,29378074,126591484,5074968,2163387,128754871,89484316
29378074_2167301,CM021100.1,1,29378074,126591484,5074968,2167301,128758785,89488230
29378074_2194220,CM021100.1,1,29378074,126591484,5074968,2194220,128785704,89515149
29378074_2260396,CM021100.1,1,29378074,126591484,5074968,2260396,128851880,89581325
29378074_2260419,CM021100.1,1,29378074,126591484,5074968,2260419,128851903,89581348
29378074_2260424,CM021100.1,1,29378074,126591484,5074968,2260424,128851908,89581353
29378074_2260429,CM021100.1,1,29378074,126591484,5074968,2260429,128851913,89581358
29378074_2260441,CM021100.1,1,29378074,126591484,5074968,2260441,128851925,89581370
29378074_2260488,CM021100.1,1,29378074,126591484,5074968,2260488,128851972,89581417
29378074_2260522,CM021100.1,1,29378074,126591484,5074968,2260522,128852006,89581451
29378541_2361764,CM021100.1,1,29378541,126591817,5002257,2361764,128953581,89683026
29378541_2361773,CM021100.1,1,29378541,126591817,5002257,2361773,128953590,89683035
29378541_2361835,CM021100.1,1,29378541,126591817,5002257,2361835,128953652,89683097
29378074_2699990,CM021100.1,1,29378074,126591484,5074968,2699990,129291474,90020919
29378074_2700004,CM021100.1,1,29378074,126591484,5074968,2700004,129291488,90020933
29378074_2700013,CM021100.1,1,29378074,126591484,5074968,2700013,129291497,90020942
29378074_2700018,CM021100.1,1,29378074,126591484,5074968,2700018,129291502,90020947
29378541_2821943,CM021100.1,1,29378541,126591817,5002257,2821943,129413760,90143205
29378541_2821995,CM021100.1,1,29378541,126591817,5002257,2821995,129413812,90143257
29378541_2822015,CM021100.1,1,29378541,126591817,5002257,2822015,129413832,90143277
29378541_2822106,CM021100.1,1,29378541,126591817,5002257,2822106,129413923,90143368
29378074_2925812,CM021100.1,1,29378074,126591484,5074968,2925812,129517296,90246741
29378074_2925862,CM021100.1,1,29378074,126591484,5074968,2925862,129517346,90246791
29378074_2936792,CM021100.1,1,29378074,126591484,5074968,2936792,129528276,90257721
29378541_3568435,CM021100.1,1,29378541,126591817,5002257,3568435,130160252,90889697
29381588_3787392,CM021100.1,1,29381588,126591481,4930301,3787392,130378873,91108318
29380473_7586,CM021100.1,1,29380473,146737412,1004061,7586,146744998,107474443
29380473_7624,CM021100.1,1,29380473,146737412,1004061,7624,146745036,107474481
29378599_204650,CM021100.1,1,29378599,146738236,361934,204650,146942886,107672331
29378599_204681,CM021100.1,1,29378599,146738236,361934,204681,146942917,107672362
29378599_204701,CM021100.1,1,29378599,146738236,361934,204701,146942937,107672382
29378599_204709,CM021100.1,1,29378599,146738236,361934,204709,146942945,107672390
29378599_204710,CM021100.1,1,29378599,146738236,361934,204710,146942946,107672391
29378599_204724,CM021100.1,1,29378599,146738236,361934,204724,146942960,107672405
29378599_204746,CM021100.1,1,29378599,146738236,361934,204746,146942982,107672427
29378599_204747,CM021100.1,1,29378599,146738236,361934,204747,146942983,107672428
29378451_358579,CM021100.1,1,29378451,146737418,648371,358579,147095997,107825442
29378451_477906,CM021100.1,1,29378451,146737418,648371,477906,147215324,107944769
29378451_477928,CM021100.1,1,29378451,146737418,648371,477928,147215346,107944791
29378451_477929,CM021100.1,1,29378451,146737418,648371,477929,147215347,107944792
29380473_509828,CM021100.1,1,29380473,146737412,1004061,509828,147247240,107976685
29380473_509920,CM021100.1,1,29380473,146737412,1004061,509920,147247332,107976777
29378451_517725,CM021100.1,1,29378451,146737418,648371,517725,147255143,107984588
29378451_517765,CM021100.1,1,29378451,146737418,648371,517765,147255183,107984628
29378451_517974,CM021100.1,1,29378451,146737418,648371,517974,147255392,107984837
29378451_609752,CM021100.1,1,29378451,146737418,648371,609752,147347170,108076615
29316132_3453,CM021100.1,1,29316132,148380966,7888,3453,148384419,109113864
29378454_67168,CM021100.1,1,29378454,156194340,3958378,67168,156261508,116990953
29380750_127536,CM021100.1,1,29380750,156194342,1838031,127536,156321878,117051323
29380750_127573,CM021100.1,1,29380750,156194342,1838031,127573,156321915,117051360
29378454_164755,CM021100.1,1,29378454,156194340,3958378,164755,156359095,117088540
29380750_174388,CM021100.1,1,29380750,156194342,1838031,174388,156368730,117098175
29380750_174430,CM021100.1,1,29380750,156194342,1838031,174430,156368772,117098217
29378454_174592,CM021100.1,1,29378454,156194340,3958378,174592,156368932,117098377
29380750_174592,CM021100.1,1,29380750,156194342,1838031,174592,156368934,117098379
29380750_174648,CM021100.1,1,29380750,156194342,1838031,174648,156368990,117098435
29380750_174676,CM021100.1,1,29380750,156194342,1838031,174676,156369018,117098463
29377226_270905,CM021100.1,1,29377226,156203849,4431392,270905,156474754,117204199
29380707_397175,CM021100.1,1,29380707,156194343,857690,397175,156591518,117320963
29380707_397187,CM021100.1,1,29380707,156194343,857690,397187,156591530,117320975
29380707_397279,CM021100.1,1,29380707,156194343,857690,397279,156591622,117321067
29377226_584850,CM021100.1,1,29377226,156203849,4431392,584850,156788699,117518144
29377226_584918,CM021100.1,1,29377226,156203849,4431392,584918,156788767,117518212
29377226_584938,CM021100.1,1,29377226,156203849,4431392,584938,156788787,117518232
29377226_588393,CM021100.1,1,29377226,156203849,4431392,588393,156792242,117521687
29380117_680260,CM021100.1,1,29380117,156194343,1930566,680260,156874603,117604048
29380117_680309,CM021100.1,1,29380117,156194343,1930566,680309,156874652,117604097
29380117_680311,CM021100.1,1,29380117,156194343,1930566,680311,156874654,117604099
29381308_856810,CM021100.1,1,29381308,156194342,1552230,856810,157051152,117780597
29379684_910886,CM021100.1,1,29379684,156194343,1073558,910886,157105229,117834674
29379684_910953,CM021100.1,1,29379684,156194343,1073558,910953,157105296,117834741
29379684_910992,CM021100.1,1,29379684,156194343,1073558,910992,157105335,117834780
29378649_1027256,CM021100.1,1,29378649,156194342,3767450,1027256,157221598,117951043
29378649_1046004,CM021100.1,1,29378649,156194342,3767450,1046004,157240346,117969791
29377226_1277144,CM021100.1,1,29377226,156203849,4431392,1277144,157480993,118210438
29377226_1409289,CM021100.1,1,29377226,156203849,4431392,1409289,157613138,118342583
29377226_1409299,CM021100.1,1,29377226,156203849,4431392,1409299,157613148,118342593
29377226_1409367,CM021100.1,1,29377226,156203849,4431392,1409367,157613216,118342661
29377226_1410164,CM021100.1,1,29377226,156203849,4431392,1410164,157614013,118343458
29377226_1410168,CM021100.1,1,29377226,156203849,4431392,1410168,157614017,118343462
29377226_1410222,CM021100.1,1,29377226,156203849,4431392,1410222,157614071,118343516
29377226_1411602,CM021100.1,1,29377226,156203849,4431392,1411602,157615451,118344896
29377226_1413484,CM021100.1,1,29377226,156203849,4431392,1413484,157617333,118346778
29377226_1413530,CM021100.1,1,29377226,156203849,4431392,1413530,157617379,118346824
29377226_1413589,CM021100.1,1,29377226,156203849,4431392,1413589,157617438,118346883
29380232_15667,CM021100.1,1,29380232,157777478,129213,15667,157793145,118522590
29382137_48769,CM021100.1,1,29382137,157776692,103665,48769,157825461,118554906
29382137_48789,CM021100.1,1,29382137,157776692,103665,48789,157825481,118554926
29380117_1643162,CM021100.1,1,29380117,156194343,1930566,1643162,157837505,118566950
29380117_1643182,CM021100.1,1,29380117,156194343,1930566,1643182,157837525,118566970
29380117_1643191,CM021100.1,1,29380117,156194343,1930566,1643191,157837534,118566979
29380117_1643197,CM021100.1,1,29380117,156194343,1930566,1643197,157837540,118566985
29380117_1643219,CM021100.1,1,29380117,156194343,1930566,1643219,157837562,118567007
29380001_2069066,CM021100.1,1,29380001,156194343,3012506,2069066,158263409,118992854
29378454_2168427,CM021100.1,1,29378454,156194340,3958378,2168427,158362767,119092212
29378454_2168460,CM021100.1,1,29378454,156194340,3958378,2168460,158362800,119092245
29378454_2168505,CM021100.1,1,29378454,156194340,3958378,2168505,158362845,119092290
29378454_2853605,CM021100.1,1,29378454,156194340,3958378,2853605,159047945,119777390
29378454_2853612,CM021100.1,1,29378454,156194340,3958378,2853612,159047952,119777397
29378454_2853671,CM021100.1,1,29378454,156194340,3958378,2853671,159048011,119777456
29378454_2855043,CM021100.1,1,29378454,156194340,3958378,2855043,159049383,119778828
29335290_105834,CM021100.1,1,29335290,166324273,508149,105834,166430107,127159552
29379982_213989,CM021100.1,1,29379982,166324273,237256,213989,166538262,127267707
29379384_3687,CM021100.1,1,29379384,185258805,1914540,3687,185262492,145991937
29379384_3694,CM021100.1,1,29379384,185258805,1914540,3694,185262499,145991944
29377174_191620,CM021100.1,1,29377174,185258803,339668,191620,185450423,146179868
29377197_191560,CM021100.1,1,29377197,185261465,210907,191560,185453025,146182470
29381206_285434,CM021100.1,1,29381206,185258804,957888,285434,185544238,146273683
29377174_325431,CM021100.1,1,29377174,185258803,339668,325431,185584234,146313679
29377174_325455,CM021100.1,1,29377174,185258803,339668,325455,185584258,146313703
29377174_325464,CM021100.1,1,29377174,185258803,339668,325464,185584267,146313712
29377174_325505,CM021100.1,1,29377174,185258803,339668,325505,185584308,146313753
29377174_325529,CM021100.1,1,29377174,185258803,339668,325529,185584332,146313777
29377174_325530,CM021100.1,1,29377174,185258803,339668,325530,185584333,146313778
29377174_325531,CM021100.1,1,29377174,185258803,339668,325531,185584334,146313779
29377174_325536,CM021100.1,1,29377174,185258803,339668,325536,185584339,146313784
29377174_325555,CM021100.1,1,29377174,185258803,339668,325555,185584358,146313803
29377174_325556,CM021100.1,1,29377174,185258803,339668,325556,185584359,146313804
29377174_325557,CM021100.1,1,29377174,185258803,339668,325557,185584360,146313805
29377174_325568,CM021100.1,1,29377174,185258803,339668,325568,185584371,146313816
29377174_325616,CM021100.1,1,29377174,185258803,339668,325616,185584419,146313864
29379661_399263,CM021100.1,1,29379661,185258805,1886762,399263,185658068,146387513
29379661_399279,CM021100.1,1,29379661,185258805,1886762,399279,185658084,146387529
29379661_399307,CM021100.1,1,29379661,185258805,1886762,399307,185658112,146387557
29379661_399337,CM021100.1,1,29379661,185258805,1886762,399337,185658142,146387587
29378406_577057,CM021100.1,1,29378406,185259459,2411145,577057,185836516,146565961
29378406_614249,CM021100.1,1,29378406,185259459,2411145,614249,185873708,146603153
29378406_614295,CM021100.1,1,29378406,185259459,2411145,614295,185873754,146603199
29377037_668375,CM021100.1,1,29377037,185259316,2242937,668375,185927691,146657136
29378406_672571,CM021100.1,1,29378406,185259459,2411145,672571,185932030,146661475
29377037_714757,CM021100.1,1,29377037,185259316,2242937,714757,185974073,146703518
29377035_730898,CM021100.1,1,29377035,185258804,3041048,730898,185989702,146719147
29380284_1182490,CM021100.1,1,29380284,185260779,1248142,1182490,186443269,147172714
29380284_1183154,CM021100.1,1,29380284,185260779,1248142,1183154,186443933,147173378
29378609_1195641,CM021100.1,1,29378609,185258805,2418187,1195641,186454446,147183891
29378609_1195647,CM021100.1,1,29378609,185258805,2418187,1195647,186454452,147183897
29378406_1366274,CM021100.1,1,29378406,185259459,2411145,1366274,186625733,147355178
29378406_1366342,CM021100.1,1,29378406,185259459,2411145,1366342,186625801,147355246
29379661_1396066,CM021100.1,1,29379661,185258805,1886762,1396066,186654871,147384316
29379661_1396111,CM021100.1,1,29379661,185258805,1886762,1396111,186654916,147384361
29378406_1417114,CM021100.1,1,29378406,185259459,2411145,1417114,186676573,147406018
29378406_1417138,CM021100.1,1,29378406,185259459,2411145,1417138,186676597,147406042
29378406_1417190,CM021100.1,1,29378406,185259459,2411145,1417190,186676649,147406094
29378406_1417201,CM021100.1,1,29378406,185259459,2411145,1417201,186676660,147406105
29378406_1417223,CM021100.1,1,29378406,185259459,2411145,1417223,186676682,147406127
29378406_1417253,CM021100.1,1,29378406,185259459,2411145,1417253,186676712,147406157
29379661_1530387,CM021100.1,1,29379661,185258805,1886762,1530387,186789192,147518637
29379661_1530406,CM021100.1,1,29379661,185258805,1886762,1530406,186789211,147518656
29379661_1543676,CM021100.1,1,29379661,185258805,1886762,1543676,186802481,147531926
29378406_1546520,CM021100.1,1,29378406,185259459,2411145,1546520,186805979,147535424
29379661_1567650,CM021100.1,1,29379661,185258805,1886762,1567650,186826455,147555900
29378406_1596303,CM021100.1,1,29378406,185259459,2411145,1596303,186855762,147585207
29378406_1596411,CM021100.1,1,29378406,185259459,2411145,1596411,186855870,147585315
29377037_1794183,CM021100.1,1,29377037,185259316,2242937,1794183,187053499,147782944
29377037_1794277,CM021100.1,1,29377037,185259316,2242937,1794277,187053593,147783038
29377037_1794307,CM021100.1,1,29377037,185259316,2242937,1794307,187053623,147783068
29377037_1794367,CM021100.1,1,29377037,185259316,2242937,1794367,187053683,147783128
29378609_1840319,CM021100.1,1,29378609,185258805,2418187,1840319,187099124,147828569
29378609_1840323,CM021100.1,1,29378609,185258805,2418187,1840323,187099128,147828573
29378609_1889122,CM021100.1,1,29378609,185258805,2418187,1889122,187147927,147877372
29378609_1889136,CM021100.1,1,29378609,185258805,2418187,1889136,187147941,147877386
29378609_1889231,CM021100.1,1,29378609,185258805,2418187,1889231,187148036,147877481
29364840_1342,CM021100.1,1,29364840,211983901,9561,1342,211985243,172714688
29360815_10002,CM021100.1,1,29360815,218043406,11178,10002,218053408,178782853
29360815_10058,CM021100.1,1,29360815,218043406,11178,10058,218053464,178782909
29360815_10061,CM021100.1,1,29360815,218043406,11178,10061,218053467,178782912
29360815_10064,CM021100.1,1,29360815,218043406,11178,10064,218053470,178782915
29360815_10095,CM021100.1,1,29360815,218043406,11178,10095,218053501,178782946
29360815_10100,CM021100.1,1,29360815,218043406,11178,10100,218053506,178782951
29360815_10155,CM021100.1,1,29360815,218043406,11178,10155,218053561,178783006
29360815_10162,CM021100.1,1,29360815,218043406,11178,10162,218053568,178783013
29370871_442343,CM021100.1,1,29370871,218040039,565056,442343,218482382,179211827
29361940_12770,CM021100.1,1,29361940,226995802,15048,12770,227008572,187738017
29378890_211503,CM021100.1,1,29378890,246853282,5875511,211503,247064785,207794230
29378890_211509,CM021100.1,1,29378890,246853282,5875511,211509,247064791,207794236
29378890_211536,CM021100.1,1,29378890,246853282,5875511,211536,247064818,207794263
29378890_211548,CM021100.1,1,29378890,246853282,5875511,211548,247064830,207794275
29378890_211564,CM021100.1,1,29378890,246853282,5875511,211564,247064846,207794291
29378890_211685,CM021100.1,1,29378890,246853282,5875511,211685,247064967,207794412
29381482_357430,CM021100.1,1,29381482,246853282,2795624,357430,247210712,207940157
29381482_357448,CM021100.1,1,29381482,246853282,2795624,357448,247210730,207940175
29381482_362681,CM021100.1,1,29381482,246853282,2795624,362681,247215963,207945408
29379874_609819,CM021100.1,1,29379874,246853282,4310334,609819,247463101,208192546
29378890_896247,CM021100.1,1,29378890,246853282,5875511,896247,247749529,208478974
29378890_896250,CM021100.1,1,29378890,246853282,5875511,896250,247749532,208478977
29378890_896269,CM021100.1,1,29378890,246853282,5875511,896269,247749551,208478996
29378890_896283,CM021100.1,1,29378890,246853282,5875511,896283,247749565,208479010
29378890_896398,CM021100.1,1,29378890,246853282,5875511,896398,247749680,208479125
29378890_896465,CM021100.1,1,29378890,246853282,5875511,896465,247749747,208479192
29378890_896480,CM021100.1,1,29378890,246853282,5875511,896480,247749762,208479207
29378890_986583,CM021100.1,1,29378890,246853282,5875511,986583,247839865,208569310
29378890_986618,CM021100.1,1,29378890,246853282,5875511,986618,247839900,208569345
29378890_986662,CM021100.1,1,29378890,246853282,5875511,986662,247839944,208569389
29378890_986690,CM021100.1,1,29378890,246853282,5875511,986690,247839972,208569417
29378890_986693,CM021100.1,1,29378890,246853282,5875511,986693,247839975,208569420
29378890_986715,CM021100.1,1,29378890,246853282,5875511,986715,247839997,208569442
29378701_1042323,CM021100.1,1,29378701,246853278,1691844,1042323,247895601,208625046
29378701_1042328,CM021100.1,1,29378701,246853278,1691844,1042328,247895606,208625051
29378701_1042344,CM021100.1,1,29378701,246853278,1691844,1042344,247895622,208625067
29378701_1042371,CM021100.1,1,29378701,246853278,1691844,1042371,247895649,208625094
29378701_1042426,CM021100.1,1,29378701,246853278,1691844,1042426,247895704,208625149
29378701_1042472,CM021100.1,1,29378701,246853278,1691844,1042472,247895750,208625195
29381482_1393773,CM021100.1,1,29381482,246853282,2795624,1393773,248247055,208976500
29379874_2012473,CM021100.1,1,29379874,246853282,4310334,2012473,248865755,209595200
29379666_2108509,CM021100.1,1,29379666,246853282,2380801,2108509,248961791,209691236
29381482_2340665,CM021100.1,1,29381482,246853282,2795624,2340665,249193947,209923392
29381482_2340751,CM021100.1,1,29381482,246853282,2795624,2340751,249194033,209923478
29378890_2373830,CM021100.1,1,29378890,246853282,5875511,2373830,249227112,209956557
29378890_3202824,CM021100.1,1,29378890,246853282,5875511,3202824,250056106,210785551
29378890_3487837,CM021100.1,1,29378890,246853282,5875511,3487837,250341119,211070564
29378890_3487872,CM021100.1,1,29378890,246853282,5875511,3487872,250341154,211070599
29378890_3487905,CM021100.1,1,29378890,246853282,5875511,3487905,250341187,211070632
29378890_3487953,CM021100.1,1,29378890,246853282,5875511,3487953,250341235,211070680
29378890_3487985,CM021100.1,1,29378890,246853282,5875511,3487985,250341267,211070712
29378890_3488022,CM021100.1,1,29378890,246853282,5875511,3488022,250341304,211070749
29378890_3488101,CM021100.1,1,29378890,246853282,5875511,3488101,250341383,211070828
29378890_3488105,CM021100.1,1,29378890,246853282,5875511,3488105,250341387,211070832
29378890_3494757,CM021100.1,1,29378890,246853282,5875511,3494757,250348039,211077484
29378890_3494762,CM021100.1,1,29378890,246853282,5875511,3494762,250348044,211077489
29378890_3496250,CM021100.1,1,29378890,246853282,5875511,3496250,250349532,211078977
29378890_3496256,CM021100.1,1,29378890,246853282,5875511,3496256,250349538,211078983
29379874_3530603,CM021100.1,1,29379874,246853282,4310334,3530603,250383885,211113330
29379874_3530738,CM021100.1,1,29379874,246853282,4310334,3530738,250384020,211113465
29344875_39261,CM021100.1,1,29344875,250491261,53325,39261,250530522,211259967
29379874_3829220,CM021100.1,1,29379874,246853282,4310334,3829220,250682502,211411947
29379874_3829268,CM021100.1,1,29379874,246853282,4310334,3829268,250682550,211411995
29378890_3931132,CM021100.1,1,29378890,246853282,5875511,3931132,250784414,211513859
29378890_3931149,CM021100.1,1,29378890,246853282,5875511,3931149,250784431,211513876
29378890_3931199,CM021100.1,1,29378890,246853282,5875511,3931199,250784481,211513926
29378890_4096908,CM021100.1,1,29378890,246853282,5875511,4096908,250950190,211679635
29378890_4171499,CM021100.1,1,29378890,246853282,5875511,4171499,251024781,211754226
29378890_5471017,CM021100.1,1,29378890,246853282,5875511,5471017,252324299,213053744
29378890_5471026,CM021100.1,1,29378890,246853282,5875511,5471026,252324308,213053753
29378890_5502902,CM021100.1,1,29378890,246853282,5875511,5502902,252356184,213085629
29378890_5502908,CM021100.1,1,29378890,246853282,5875511,5502908,252356190,213085635
29378890_5502942,CM021100.1,1,29378890,246853282,5875511,5502942,252356224,213085669
29378890_5502952,CM021100.1,1,29378890,246853282,5875511,5502952,252356234,213085679
29378890_5503051,CM021100.1,1,29378890,246853282,5875511,5503051,252356333,213085778
29378890_5503072,CM021100.1,1,29378890,246853282,5875511,5503072,252356354,213085799
29378890_5507848,CM021100.1,1,29378890,246853282,5875511,5507848,252361130,213090575
29343946_6283,CM021100.1,1,29343946,267529556,20674,6283,267535839,228265284
29356580_176290,CM021100.1,1,29356580,267527281,278026,176290,267703571,228433016
29379486_57933,CM021100.1,1,29379486,276778027,602240,57933,276835960,237565405
29379486_57946,CM021100.1,1,29379486,276778027,602240,57946,276835973,237565418
29336622_142690,CM021100.1,1,29336622,276778261,323370,142690,276920951,237650396
29336622_142908,CM021100.1,1,29336622,276778261,323370,142908,276921169,237650614
