SNP,not_fixed,ref_fixed,alt_fixed,total,not_fixed_exp,ref_fixed_exp,alt_fixed_exp,chi_sq,p.value,p.adj.BH,p.adj.bonf,p.adj.holm
29377170_9848985,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377173_24972,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377173_24992,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377174_325529,2,8,0,10,0.625,4.6875,4.6875,10.05333333,0.006560643,0.053347804,1,1
29377174_325616,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377179_256157,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377179_513825,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377179_513871,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377179_518795,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377180_433031,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377180_433032,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377188_112860,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377193_1297223,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377193_1796194,3,3,4,10,0.625,4.6875,4.6875,9.733333333,0.007698986,0.060985973,1,1
29377193_1796200,3,3,4,10,0.625,4.6875,4.6875,9.733333333,0.007698986,0.060985973,1,1
29377193_960690,3,6,1,10,0.625,4.6875,4.6875,12.29333333,0.002140605,0.018451436,1,1
29377194_150940,5,3,2,10,0.625,4.6875,4.6875,32.77333333,7.64E-08,9.91E-07,0.002765627,0.002552798
29377207_339196,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377207_339210,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377235_550025,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
29377235_550034,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
29377235_550058,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
29377235_550140,1,9,0,10,0.625,4.6875,4.6875,8.88,0.011795939,0.091086802,1,1
29377236_119217,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377248_1910441,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377260_1429644,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
29377268_78293,1,2,7,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377274_1150691,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377274_1586232,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377276_345650,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377278_606146,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377278_606191,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377278_606208,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377280_242360,7,3,0,10,0.625,4.6875,4.6875,70.32,5.37E-16,1.11E-14,1.94E-11,1.85E-11
29377280_242362,7,3,0,10,0.625,4.6875,4.6875,70.32,5.37E-16,1.11E-14,1.94E-11,1.85E-11
29377303_1204339,1,1,8,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377311_1731022,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377315_3017991,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377315_3017995,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377337_927919,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377337_927929,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377337_980872,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377349_1201555,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377349_3455850,8,2,0,10,0.625,4.6875,4.6875,93.25333333,5.63E-21,1.51E-19,2.04E-16,1.96E-16
29377352_40952,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377354_466887,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377354_466948,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377354_467094,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377354_467108,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377354_804755,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377354_804762,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377372_11103,1,9,0,10,0.625,4.6875,4.6875,8.88,0.011795939,0.091086802,1,1
29377375_1027027,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377375_1027055,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377375_1027058,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377375_1056890,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377375_1066844,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377375_1085853,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377375_1123202,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377375_1124066,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377376_3104191,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
29377401_1544529,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377402_2600106,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377402_2658439,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377402_2658461,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377402_2658556,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377402_2658580,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377402_2658638,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377402_6509376,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377402_6519390,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377418_2103555,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377419_919492,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377438_818427,1,1,8,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377442_735919,1,8,1,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377442_735972,1,8,1,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377442_736105,1,8,1,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377442_736224,1,8,1,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377442_736349,1,8,1,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377442_736385,1,8,1,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377459_1264289,6,2,2,10,0.625,4.6875,4.6875,49.30666667,1.96E-11,3.15E-10,7.11E-07,6.66E-07
29377459_1264303,6,3,1,10,0.625,4.6875,4.6875,49.73333333,1.59E-11,2.57E-10,5.74E-07,5.39E-07
29377459_1264306,5,3,2,10,0.625,4.6875,4.6875,32.77333333,7.64E-08,9.91E-07,0.002765627,0.002552798
29377459_1264347,5,3,2,10,0.625,4.6875,4.6875,32.77333333,7.64E-08,9.91E-07,0.002765627,0.002552798
29377459_1264405,6,2,2,10,0.625,4.6875,4.6875,49.30666667,1.96E-11,3.15E-10,7.11E-07,6.66E-07
29377459_1264408,7,2,1,10,0.625,4.6875,4.6875,69.46666667,8.23E-16,1.67E-14,2.98E-11,2.83E-11
29377459_1264447,6,3,1,10,0.625,4.6875,4.6875,49.73333333,1.59E-11,2.57E-10,5.74E-07,5.39E-07
29377459_1264982,7,3,0,10,0.625,4.6875,4.6875,70.32,5.37E-16,1.11E-14,1.94E-11,1.85E-11
29377464_1053210,7,1,2,10,0.625,4.6875,4.6875,69.46666667,8.23E-16,1.67E-14,2.98E-11,2.83E-11
29377466_222227,4,6,0,10,0.625,4.6875,4.6875,23.28,8.81E-06,9.57E-05,0.318599273,0.289519615
29377477_15525,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377477_15526,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377477_15554,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377477_178155,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377477_284423,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377479_404278,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377495_350024,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377503_1289971,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377503_590496,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_1851324,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_1851395,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_1853298,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_1853532,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_1853539,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_1888253,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_2158094,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_2158159,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_2158438,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_2158439,2,3,5,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377513_2848035,2,6,2,10,0.625,4.6875,4.6875,4.933333333,0.084867279,0.438418328,1,1
29377513_614446,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377513_614464,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377513_614528,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377513_614565,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377513_614591,2,4,4,10,0.625,4.6875,4.6875,3.226666667,0.199222431,0.702620531,1,1
29377513_614664,2,5,3,10,0.625,4.6875,4.6875,3.653333333,0.160949172,0.653769394,1,1
29377529_1165889,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377529_1165964,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377529_1167340,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377529_2093700,3,5,2,10,0.625,4.6875,4.6875,10.58666667,0.005024982,0.041809749,1,1
29377529_2093703,3,5,2,10,0.625,4.6875,4.6875,10.58666667,0.005024982,0.041809749,1,1
29377529_3414489,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377529_903906,1,3,6,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377533_546426,1,4,5,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377537_2572035,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377552_213210,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377554_1781045,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377554_1781046,1,6,3,10,0.625,4.6875,4.6875,1.2,0.548811636,0.856458118,1,1
29377567_854327,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377601_46461,4,5,1,10,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000269661,0.925746818,0.838282334
29377609_2839439,1,5,4,10,0.625,4.6875,4.6875,0.346666667,0.840857282,0.903519482,1,1
29377610_3581479,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377610_3581731,1,7,2,10,0.625,4.6875,4.6875,2.906666667,0.233789689,0.77509252,1,1
29377610_3676590,1,8,1,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377610_3676635,1,8,1,10,0.625,4.6875,4.6875,5.466666667,0.065002254,0.372145362,1,1
29377622_685449,5,4,1,10,0.625,4.6875,4.6875,33.62666667,4.99E-08,6.54E-07,0.001805073,0.001668059
29377622_685473,4,5,1,10,0.625,4.6875,4.6875,21.14666667,2.56E-05,0.000269661,0.925746818,0.838282334
29377622_685534,5,4,1,10,0.625,4.6875,4.6875,33.62666667,4.99E-08,6.54E-07,0.001805073,0.001668059
