,16_5-F,1654-S1,1654-4-S2,1654-45-S3,1654-454-S4,1654-454-S5
1946607_99,1,1,1,1,1,1
20066919_116,0,0,0,0,0,0
20066919_81,0,0,0,0,0,0
21533801_233,0,0,0,0,0,0
21533801_253,0,0,0,0,0,0
21533801_279,0,0,0,0,0,0
21533801_292,0,0,0,0,0,0
21533801_293,0,0,0,0,0,0
21533801_295,0,0,0,0,0,0
21533801_324,0,0,0,0,0,0
21533801_329,0,0,0,0,0,0
21533801_343,0,0,0,0,0,0
21533801_359,0,0,0,0,0,0
21533801_362,0,0,0,0,0,0
21533806_205,0,0,0,0,0,0
21533806_257,0,0,0,0,0,0
21533806_299,0,0,0,0,0,0
21533806_313,0,0,0,0,0,0
21533806_355,0,0,0,0,0,0
21533806_357,0,0,0,0,0,0
21533806_359,0,0,0,0,0,0
21533806_393,0,0,0,0,0,0
21533806_415,0,0,0,0,0,0
21533806_425,0,0,0,0,0,0
2231860_229,1,1,1,1,1,0
2231860_287,1,1,1,1,1,0
2231860_334,0,0,0,0,0,0
2231860_364,0,0,0,0,0,0
2231860_414,0,0,0,0,0,0
2310012_408,1,1,1,NA,2,2
2310012_415,0,0,0,0,0,0
2310012_417,1,1,1,1,1,1
2310012_425,2,2,2,2,2,2
2310012_431,1,1,1,1,1,1
2310012_445,0,0,0,0,0,0
2310012_446,1,0,0,0,0,0
2310012_447,0,0,0,0,0,0
2310012_448,2,2,2,2,2,2
2310012_449,0,0,0,0,0,0
2310012_450,2,2,2,2,2,2
2310012_471,0,0,0,0,0,0
2310012_474,1,1,1,NA,2,2
2310012_476,0,0,0,0,0,0
23369181_217,0,0,0,0,0,0
23369181_222,1,0,0,0,0,0
23369181_224,0,0,0,0,0,0
23369181_226,1,0,0,0,0,0
23369181_235,0,0,0,0,0,0
23369181_237,NA,NA,0,0,0,0
23369181_241,1,2,2,2,2,2
23369181_272,1,2,2,2,2,2
2425235_128,1,1,1,1,1,1
2425235_134,1,1,1,1,1,1
2425235_135,1,1,1,1,1,1
2425235_189,1,1,1,1,1,1
2425235_197,1,1,1,1,1,1
2463178_3049,0,0,0,0,0,0
2463178_3051,0,0,0,0,0,0
2463178_3055,0,0,0,0,0,0
2463178_3058,0,0,0,0,0,0
2463178_3078,0,0,0,0,0,0
2463178_3092,0,0,0,0,0,0
2463178_3093,0,0,0,0,0,0
2463178_3101,0,0,0,0,0,0
2463178_3103,0,0,0,0,0,0
2463178_3196,0,0,0,0,0,0
2463178_3238,0,0,0,0,0,0
2483091_2120,1,1,1,NA,NA,NA
24893276_385,1,2,2,2,2,2
24893276_399,1,2,2,2,2,2
2499965_205,0,0,0,0,0,0
2709928_3783,0,0,0,0,0,0
2709928_3838,0,0,0,0,0,0
2709928_3841,0,0,0,0,0,0
2709928_3842,0,0,0,0,0,0
2709928_3848,0,0,0,0,0,0
2709928_3856,0,0,0,0,0,0
2709928_3891,0,0,0,0,0,0
2709928_3893,0,0,0,0,0,0
2709928_3898,0,0,0,0,0,0
2709928_3910,0,0,0,0,0,0
2709928_3916,0,0,0,0,0,0
2709928_3928,0,0,0,0,0,0
2709928_3951,0,0,0,0,0,0
2709928_3956,0,0,0,0,0,0
2709928_3985,0,0,0,0,0,0
2709928_3987,0,0,0,0,0,0
2788774_707,1,1,1,NA,NA,NA
2788774_733,1,1,1,NA,0,0
2788774_769,0,0,0,0,0,0
2788774_772,0,0,0,0,0,0
2788774_776,1,1,1,1,1,1
2788774_777,1,1,1,NA,0,0
2788774_793,1,1,1,1,1,0
2788774_818,0,0,0,0,0,0
2788774_827,0,0,0,0,0,0
2788774_828,0,0,0,0,0,0
2788774_835,0,0,0,0,0,0
2788774_855,0,0,0,0,0,0
2788774_860,0,0,0,0,0,0
2788774_862,0,0,0,0,0,0
2788774_863,0,0,0,0,0,0
2788774_865,0,0,0,0,0,0
28134526_2510,2,2,2,2,2,2
28134598_200,0,0,0,0,0,0
28135302_592,0,0,0,0,0,0
28135302_619,1,1,1,1,1,1
28135302_625,1,1,1,1,1,1
28135302_635,1,1,1,1,1,1
28135302_652,0,0,0,0,0,0
28135302_706,1,1,1,1,1,0
28135869_189,1,0,0,0,0,0
28135869_330,0,0,0,0,0,0
28137071_1295,0,0,0,0,0,0
28137071_1359,1,1,1,1,1,1
28137071_1470,0,0,0,0,0,0
28137572_3637,0,0,0,0,0,0
28137572_3722,0,0,0,0,0,0
28137572_3742,0,0,0,0,0,0
28137572_3768,0,0,0,0,0,0
28137572_3772,0,0,0,0,0,0
28137572_3774,0,0,0,0,0,0
28137572_3783,0,0,0,0,0,0
28138317_165,0,0,0,0,0,0
28138317_246,0,0,0,0,0,0
28138317_272,0,0,0,0,0,0
28138351_5375,0,0,0,0,0,0
28138351_5415,0,0,0,0,0,0
28139210_128,1,1,1,1,1,0
28139210_199,1,2,2,2,2,2
28139210_255,1,1,1,1,1,0
28139210_333,0,0,0,0,0,0
28139328_1127,0,0,0,0,0,0
28139328_1230,0,0,0,0,0,0
28139713_121,0,0,0,0,0,0
28139713_148,0,0,0,0,0,0
28139713_160,1,1,1,1,1,1
28139713_203,1,1,1,1,1,1
28139713_219,0,0,0,0,0,0
28139713_220,1,1,1,1,1,1
28139713_223,1,1,1,1,1,1
28139713_225,1,1,1,1,1,1
28139713_236,1,1,1,1,1,1
28139713_70,0,0,0,0,0,0
28139713_71,0,0,0,0,0,0
28139713_79,0,0,0,0,0,0
28139713_91,0,0,0,0,0,0
28139713_92,0,0,0,0,0,0
28140702_484,1,1,1,1,1,1
28140702_489,1,1,1,1,1,1
28140702_490,0,0,0,0,0,0
28140702_491,0,0,0,0,0,0
28140702_529,1,0,0,0,0,0
28140702_531,0,0,0,0,0,0
28140702_532,0,0,0,0,0,0
28140702_537,0,0,0,0,0,0
28140702_545,1,1,1,1,1,0
28140702_553,1,1,0,0,0,0
28140702_571,1,1,1,1,1,1
28140702_581,1,2,2,2,2,2
28140702_586,1,2,2,2,2,2
28140702_612,1,0,0,0,0,0
28140702_632,1,0,0,0,0,0
28140702_637,0,0,0,0,0,0
28141228_3013,1,0,0,0,0,0
2814320_533,0,0,0,0,0,0
28143895_1004,0,0,0,0,0,0
28143895_956,0,0,0,0,0,0
28144677_2692,1,1,1,NA,NA,NA
28144677_2696,0,0,0,0,0,0
28144677_2717,1,1,1,NA,NA,NA
28145705_5676,1,0,0,0,0,0
28145947_719,2,2,2,2,2,2
28149078_4214,1,1,1,1,1,1
28149078_4244,1,1,1,1,1,1
28149078_4296,0,0,0,0,0,0
28149078_4344,1,1,1,1,1,2
28149078_4409,1,1,1,1,1,2
28150842_758,1,1,1,1,1,1
28152325_411,1,1,1,1,1,1
28152325_452,1,1,1,1,1,1
28152325_475,1,1,1,1,1,1
28152975_2759,0,0,0,0,0,0
28152975_2760,0,0,0,0,0,0
28152975_2794,0,0,0,0,0,0
28152975_2803,1,0,0,0,0,0
28152975_2811,0,0,0,0,0,0
28152975_2853,0,0,0,0,0,0
28152975_2860,0,0,0,0,0,0
28152975_2861,0,0,0,0,0,0
28152975_2880,1,1,1,1,1,0
28152975_2884,0,0,0,0,0,0
28152975_2891,1,1,0,0,0,0
28152975_2898,1,1,1,1,1,0
28152975_2903,0,0,0,0,0,0
28152975_2907,0,0,0,0,0,0
28152975_2908,2,2,2,2,2,2
28152975_2919,1,1,1,1,1,1
28152975_2924,0,0,0,0,0,0
28152975_2928,0,0,0,0,0,0
28152975_2929,1,1,1,1,1,1
28153607_182,1,1,1,1,1,2
28153607_207,0,0,0,0,0,0
28153863_4300,0,0,0,0,0,0
28153863_4539,0,0,0,0,0,0
28154626_133,0,0,0,0,0,0
28154626_222,0,0,0,0,0,0
28154626_326,0,0,0,0,0,0
28154626_338,2,2,2,2,2,2
28154626_3509,1,1,1,1,1,0
28154626_3513,1,0,0,0,0,0
28154626_3525,1,1,1,1,1,0
28154626_3569,1,1,1,1,1,0
28154626_3598,0,0,0,0,0,0
28154626_3606,1,1,1,1,1,0
28154976_181,0,0,0,0,0,0
28155185_4505,0,0,0,0,0,0
28155185_4601,0,0,0,0,0,0
28155185_4618,0,0,0,0,0,0
28155185_4654,2,2,2,2,2,2
28155185_4662,0,0,0,0,0,0
28155185_4677,0,0,0,0,0,0
28155185_4708,0,0,0,0,0,0
28155190_443,1,0,0,0,0,0
28155190_447,0,0,0,0,0,0
28155190_461,1,1,1,1,1,0
28155190_480,1,1,1,1,1,0
28155190_499,1,1,1,NA,0,0
28155190_532,0,0,0,0,0,0
28155190_552,0,0,0,0,0,0
28155190_555,0,0,0,0,0,0
28155190_564,1,1,1,1,1,0
28155190_572,1,1,1,1,1,0
28155190_589,1,1,1,1,1,0
28155190_593,1,1,1,1,1,0
28155190_599,1,0,0,0,0,0
28155190_605,1,1,1,1,1,0
28155190_606,1,1,1,1,1,1
28155190_616,0,0,0,0,0,0
28155190_637,0,0,0,0,0,0
28155190_653,1,1,1,1,1,1
28155190_679,1,1,1,1,1,0
28155190_683,1,1,1,1,1,0
28155190_698,1,1,1,1,1,0
28155318_331,0,0,0,0,0,0
28155318_391,0,0,0,0,0,0
28155318_395,0,0,0,0,0,0
28155318_400,0,0,0,0,0,0
28155318_419,1,1,1,1,1,1
28155318_425,0,0,0,0,0,0
28155318_426,0,0,0,0,0,0
28155318_475,1,1,1,1,1,1
28155318_476,1,1,1,1,1,1
28155318_503,0,0,0,0,0,0
28155318_510,1,1,1,1,1,1
28155370_383,1,1,1,1,1,1
28155370_386,1,1,1,1,1,1
28155370_398,1,1,1,1,1,1
28155370_412,0,0,0,0,0,0
28155711_1017,0,0,0,0,0,0
28155711_595,1,1,1,1,1,0
28155711_611,0,0,0,0,0,0
28155711_672,0,0,0,0,0,0
28155711_870,1,1,1,1,1,0
28155711_879,0,0,0,0,0,0
28155711_887,0,0,0,0,0,0
28156791_792,0,0,0,0,0,0
28156791_804,0,0,0,0,0,0
28156791_944,0,0,0,0,0,0
28156791_977,0,0,0,0,0,0
28158048_447,2,2,2,2,2,2
28158048_449,2,2,2,2,2,2
28158048_450,2,2,2,2,2,2
28158048_503,0,0,0,0,0,0
28158258_79,1,1,1,1,1,0
28159089_148,1,1,0,0,0,0
28159089_150,0,0,0,0,0,0
28159089_229,1,1,1,1,1,1
28159089_236,1,1,0,0,0,0
28159089_268,1,1,0,0,0,0
28159089_271,1,1,0,0,0,0
28159089_315,1,1,0,0,0,0
28159089_398,0,0,0,0,0,0
28159089_399,1,0,0,0,0,0
28162055_1003,1,1,1,1,1,1
28162055_1053,0,0,0,0,0,0
28162055_941,1,1,1,1,1,1
28162055_952,0,0,0,0,0,0
28162055_958,0,0,0,0,0,0
28162055_960,1,1,1,1,1,1
28162055_965,1,1,1,1,1,1
28163155_1004,1,0,0,0,0,0
28164259_2495,1,1,1,1,1,2
28164259_2504,1,1,1,1,1,2
28164259_2506,1,1,1,1,1,2
28164259_2512,1,1,1,1,1,2
28164259_2619,0,0,0,0,0,0
28164259_2649,1,1,1,1,1,0
28164259_2650,1,1,1,1,1,0
28165285_403,0,0,0,0,0,0
28165285_510,1,1,1,1,1,1
28165285_545,1,1,1,1,1,1
28165285_553,0,0,0,0,0,0
28165285_576,0,0,0,0,0,0
28165285_644,0,0,0,0,0,0
28165285_655,0,0,0,0,0,0
28165552_514,1,2,2,2,2,2
28165552_516,1,2,2,2,2,2
28165823_1377,1,2,2,2,2,2
28165862_339,1,1,1,1,1,1
28165862_409,1,2,2,2,2,2
28166317_1056,0,0,0,0,0,0
28166317_963,1,1,1,1,1,0
28166317_969,1,1,1,1,1,0
28168451_381,2,2,2,2,2,2
28169166_1094,1,1,1,1,1,1
28169166_1157,0,0,0,0,0,0
28169166_894,1,1,1,1,1,2
28172411_1974,1,1,1,1,1,1
28172411_1975,1,1,1,1,1,1
28172411_2045,1,1,0,0,0,0
28172901_199,0,0,0,0,0,0
28173112_1790,0,0,0,0,0,0
28174220_1890,1,1,1,1,1,2
28175193_2593,1,1,1,1,1,1
28175193_2632,1,1,1,1,1,1
28175193_2654,1,1,1,1,1,1
28175193_2664,1,1,1,1,1,1
28175193_2671,1,1,1,1,1,1
28175193_2672,0,0,0,0,0,0
28175193_2674,1,1,1,1,1,1
28175193_2680,0,0,0,0,0,0
28175193_2687,1,1,1,1,1,1
28175193_2710,0,0,0,0,0,0
28175193_2723,0,0,0,0,0,0
28176026_544,1,1,1,1,1,0
28176026_627,0,0,0,0,0,0
28176026_696,1,1,1,1,1,1
28176026_726,0,0,0,0,0,0
28176831_494,1,1,1,1,1,2
28176831_552,0,0,0,0,0,0
28176831_556,1,1,1,1,1,1
28176831_563,0,0,0,0,0,0
28176831_585,0,0,0,0,0,0
28178873_161,1,1,1,1,1,0
28178873_231,1,1,1,1,1,0
28178873_271,1,1,1,1,1,0
28182045_500,1,1,1,1,1,1
28182045_553,1,1,1,1,1,1
28182045_557,1,1,1,1,1,1
28183414_496,0,0,0,0,0,0
28183414_504,0,0,0,0,0,0
28183414_695,1,1,1,1,1,1
28185651_5063,1,1,1,1,1,1
28185651_5181,1,1,1,1,1,1
28186833_151,0,0,0,0,0,0
28186833_170,0,0,0,0,0,0
28186833_99,0,0,0,0,0,0
28186905_353,1,1,1,1,1,0
28186905_395,0,0,0,0,0,0
28186905_396,0,0,0,0,0,0
28186905_437,1,1,1,1,1,1
28187955_1023,1,1,1,1,1,2
28187955_1070,0,0,0,0,0,0
28187955_1108,1,1,1,1,1,0
28187955_1110,0,0,0,0,0,0
28187955_1163,1,1,1,1,1,0
28187955_1220,0,0,0,0,0,0
28187955_1267,0,0,0,0,0,0
28189582_726,1,1,1,1,1,1
28189582_766,0,0,0,0,0,0
28189712_529,1,1,1,1,1,2
28189712_530,1,1,1,1,1,2
28189712_567,0,0,0,0,0,0
28189712_615,0,0,0,0,0,0
28189804_527,1,1,2,2,2,2
28189804_545,0,0,0,0,0,0
28189804_546,0,0,0,0,0,0
28189804_578,0,0,0,0,0,0
28189804_582,1,1,1,1,1,1
28189804_633,1,0,0,0,0,0
28189804_636,0,0,0,0,0,0
28189804_655,1,1,1,NA,0,0
28189804_691,1,0,0,0,0,0
28190152_3542,0,0,0,0,0,0
28191375_115,0,0,0,0,0,0
28191375_198,1,1,1,1,1,0
28191375_217,0,0,0,0,0,0
28191386_6048,2,2,2,2,2,2
28191386_6086,0,0,0,0,0,0
28191386_6100,0,0,0,0,0,0
28191386_6145,0,0,0,0,0,0
28191386_6238,1,1,1,1,1,1
28191386_6246,0,0,0,0,0,0
28191386_6259,0,0,0,0,0,0
28191386_6269,0,0,0,0,0,0
28191386_6294,1,1,1,1,1,1
28192406_163,1,1,1,1,1,2
28192406_219,0,0,0,0,0,0
28192406_274,1,1,1,1,1,2
28192406_275,1,1,1,1,1,2
28192759_455,0,0,0,0,0,0
28192759_503,0,0,0,0,0,0
28192759_531,1,1,1,1,1,1
28192759_553,0,0,0,0,0,0
28192759_609,0,0,0,0,0,0
28192759_651,1,1,1,1,1,1
28193251_335,1,2,2,2,2,2
28193251_342,1,2,2,2,2,2
28193251_350,1,2,2,2,2,2
28193251_354,0,0,0,0,0,0
28193251_359,0,0,0,0,0,0
28193251_408,0,0,0,0,0,0
28193251_443,0,0,0,0,0,0
28193251_447,1,2,2,2,2,2
28193867_1275,2,2,2,2,2,2
28193867_1323,1,1,1,1,1,1
28193867_1329,1,1,1,1,1,1
28193867_1389,1,1,1,1,1,1
28194901_400,0,0,0,0,0,0
28194901_466,0,0,0,0,0,0
28194901_472,0,0,0,0,0,0
28194901_488,1,1,1,1,1,1
28194901_498,0,0,0,0,0,0
28194901_551,0,0,0,0,0,0
28194901_619,1,1,1,1,1,1
28194901_633,1,1,1,NA,0,0
28199523_183,1,1,1,NA,NA,NA
28200142_914,1,1,1,1,1,1
28200142_943,1,1,1,1,1,1
28200142_965,1,1,1,1,1,1
28200142_989,0,0,0,0,0,0
28200142_999,1,1,1,1,1,1
28201521_724,0,0,0,0,0,0
28202325_434,0,0,0,0,0,0
28202325_529,0,0,0,0,0,0
28202325_533,0,0,0,0,0,0
28202331_579,0,0,0,0,0,0
28203107_526,0,0,0,0,0,0
28203765_2838,1,1,1,1,1,2
28203765_2877,0,0,0,0,0,0
28203765_2918,1,1,1,1,1,2
28203765_2920,1,1,1,1,1,2
28208394_1908,0,0,0,0,0,0
28208394_2111,0,0,0,0,0,0
28209353_316,1,NA,0,0,0,0
28209708_1046,0,0,0,0,0,0
28209708_1128,1,1,1,1,1,1
28210049_285,0,0,0,0,0,0
28210095_649,1,2,2,2,2,2
28210095_734,1,0,0,0,0,0
28210095_777,1,2,2,2,2,2
28210095_853,1,2,2,2,2,2
28210418_6944,0,0,0,0,0,0
28211226_1176,1,1,1,1,1,0
28211226_1295,1,1,1,1,1,1
28211226_1296,1,1,1,1,1,1
28211890_429,0,0,0,0,0,0
28211890_443,0,0,0,0,0,0
28211890_450,0,0,0,0,0,0
28211890_467,1,1,1,1,1,1
28211890_476,0,0,0,0,0,0
28211890_481,0,0,0,0,0,0
28211890_519,0,0,0,0,0,0
28211890_529,1,1,1,1,1,1
28211890_531,0,0,0,0,0,0
28211890_542,1,1,1,1,1,1
28211890_588,0,0,0,0,0,0
28211890_665,0,0,0,0,0,0
28211890_667,0,0,0,0,0,0
28211890_687,0,0,0,0,0,0
28211890_690,1,1,1,1,1,1
28211890_698,1,1,1,1,1,1
28211890_707,0,0,0,0,0,0
28211890_740,0,0,0,0,0,0
28211890_770,0,0,0,0,0,0
28211890_791,0,0,0,0,0,0
28212607_434,1,1,1,1,1,0
28212607_435,0,0,0,0,0,0
28212607_453,0,0,0,0,0,0
28212607_456,1,1,1,1,1,0
28212607_458,1,2,2,2,2,2
28212607_465,1,1,1,1,1,0
28212607_470,0,0,0,0,0,0
28212607_471,0,0,0,0,0,0
28212607_475,0,0,0,0,0,0
28212607_479,0,0,0,0,0,0
28212607_485,0,0,0,0,0,0
28212607_486,0,0,0,0,0,0
28212607_488,0,0,0,0,0,0
28212607_492,0,0,0,0,0,0
28212607_495,1,2,2,2,2,2
28212607_500,0,0,0,0,0,0
28212607_522,1,2,2,2,2,2
28212607_535,0,0,0,0,0,0
28212607_539,0,0,0,0,0,0
28212607_544,2,2,2,2,2,2
28212607_545,1,1,0,0,0,0
28212607_551,0,0,0,0,0,0
28212607_552,2,2,2,2,2,2
28212607_557,0,0,0,0,0,0
28212607_575,0,0,0,0,0,0
28212607_583,0,0,0,0,0,0
28212607_584,0,0,0,0,0,0
28212607_589,0,0,0,0,0,0
28212607_591,0,0,0,0,0,0
