,6_4-F,646-S1,646-4-S2,646-45-S3,646-454-S4,646-454-S5
28190152_3542,1,1,1,1,1,1
28191375_115,1,1,1,1,1,1
28191375_217,0,0,0,0,0,0
28191386_6048,2,2,2,2,2,2
28191386_6086,0,0,0,0,0,0
28191386_6100,0,0,0,0,0,0
28191386_6238,1,1,1,1,1,1
28191386_6294,1,1,1,1,1,1
28192406_163,1,1,1,1,1,1
28192406_219,0,0,0,0,0,0
28192406_274,1,1,1,1,1,1
28192406_275,1,1,1,1,1,1
28192759_455,1,1,1,1,0,0
28192759_503,0,0,0,0,0,0
28192759_531,0,0,0,0,0,0
28192759_553,0,0,0,0,0,0
28192759_591,0,0,0,0,0,0
28192759_609,0,0,0,0,0,0
28192759_651,0,0,0,0,0,0
28193251_335,1,0,0,0,0,0
28193251_342,0,0,0,0,0,0
28193251_350,0,0,0,0,0,0
28193251_354,1,0,0,0,0,0
28193251_359,1,0,0,0,0,0
28193251_408,0,0,0,0,0,0
28193251_443,1,0,0,0,0,0
28193251_447,0,0,0,0,0,0
28193867_1275,2,2,2,2,2,2
28193867_1323,0,0,0,0,0,0
28193867_1329,1,1,1,1,1,1
28193867_1389,1,1,1,1,1,1
28194901_400,0,0,0,0,0,0
28194901_466,0,0,0,0,0,0
28194901_472,0,0,0,0,0,0
28194901_488,1,1,1,0,0,0
28194901_498,0,0,0,0,0,0
28194901_551,0,0,0,0,0,0
28194901_571,0,0,0,0,0,0
28194901_576,0,0,0,0,0,0
28194901_619,1,1,0,0,0,0
28194901_633,1,1,0,0,0,0
28199523_183,2,2,2,2,2,2
28200142_914,1,1,1,1,1,1
28200142_943,1,1,1,1,1,1
28200142_965,1,1,1,1,1,1
28200142_989,0,0,0,0,0,0
28200142_999,1,1,1,1,1,0
28201521_724,0,0,0,0,0,0
28202325_434,0,0,0,0,0,0
28202325_529,1,2,2,2,2,2
28202325_533,1,2,2,2,2,2
28202331_579,1,1,0,0,0,0
28203107_526,0,0,0,0,0,0
28203765_2838,1,1,1,1,1,1
28203765_2918,1,1,1,1,1,1
28203765_2920,1,1,1,1,1,1
28208394_1908,0,0,0,0,0,0
28208394_2111,0,0,0,0,0,0
28209353_291,1,1,1,1,1,1
28209353_316,1,1,1,1,1,1
28209708_1046,0,0,0,0,0,0
28209708_1128,1,1,1,1,1,1
28210049_285,0,0,0,0,0,0
28210095_649,1,1,1,1,1,1
28210095_734,1,1,1,1,1,1
28210095_777,1,1,1,1,1,1
28210095_853,1,1,1,1,1,1
28210418_6944,0,0,0,0,0,0
28211226_1176,1,1,1,1,1,1
28211226_1295,1,1,1,1,1,1
28211226_1296,1,1,1,1,1,1
28211890_429,0,0,0,0,0,0
28211890_443,0,0,0,0,0,0
28211890_450,0,0,0,0,0,0
28211890_467,1,1,1,1,1,1
28211890_476,0,0,0,0,0,0
28211890_481,0,0,0,0,0,0
28211890_519,0,0,0,0,0,0
28211890_529,1,1,1,1,1,1
28211890_531,0,0,0,0,0,0
28211890_542,1,1,1,1,1,1
28211890_588,0,0,0,0,0,0
28211890_665,0,0,0,0,0,0
28211890_687,0,0,0,0,0,0
28211890_690,1,1,1,1,1,1
28211890_698,1,1,1,1,1,1
28211890_707,0,0,0,0,0,0
28211890_740,0,0,0,0,0,0
28211890_770,0,0,0,0,0,0
28211890_791,0,0,0,0,0,0
28212607_434,1,1,1,1,1,1
28212607_435,1,1,1,0,0,0
28212607_458,1,1,1,1,1,1
28212607_465,1,1,1,1,1,1
28212607_470,0,0,0,0,0,0
28212607_471,0,0,0,0,0,0
28212607_479,1,1,1,0,0,0
28212607_485,0,0,0,0,0,0
28212607_486,1,1,1,1,1,1
28212607_488,0,0,0,0,0,0
28212607_492,0,0,0,0,0,0
28212607_495,1,1,1,1,1,1
28212607_500,0,0,0,0,0,0
28212607_518,0,0,0,0,0,0
28212607_522,1,1,1,1,1,1
28212607_535,1,1,1,1,1,1
28212607_539,1,1,1,1,1,1
28212607_544,1,1,1,1,1,1
28212607_545,0,0,0,0,0,0
28212607_551,0,0,0,0,0,0
28212607_552,1,1,1,1,1,1
28212607_557,0,0,0,0,0,0
28212607_575,1,1,1,1,1,0
28212607_584,0,0,0,0,0,0
28212607_589,1,1,1,1,0,0
28212607_591,0,0,0,0,0,0
28212607_595,0,0,0,0,0,0
28212607_624,0,0,0,0,0,0
28212607_629,0,0,0,0,0,0
28212607_673,0,0,0,0,0,0
28212607_687,0,0,0,0,0,0
28212607_734,0,0,0,0,0,0
28213126_917,0,0,0,0,0,0
28219388_1316,0,0,0,0,0,0
28219388_1317,0,0,0,0,0,0
28219388_1377,0,0,0,0,0,0
28219388_1459,1,1,1,1,1,1
28219388_1476,0,0,0,0,0,0
28221113_4389,0,0,0,0,0,0
28221113_4411,1,1,1,1,1,2
28221113_4458,0,0,0,0,0,0
28221113_4466,0,0,0,0,0,0
28221113_4471,0,0,0,0,0,0
28221113_4474,0,0,0,0,0,0
28221113_4475,0,0,0,0,0,0
28221113_4502,0,0,0,0,0,0
28221113_4515,0,0,0,0,0,0
28221113_4519,1,1,1,1,1,1
28221113_4527,1,1,1,1,1,1
28221113_4549,0,0,0,0,0,0
28221113_4566,1,1,1,1,1,1
28221113_4608,0,0,0,0,0,0
28221113_4645,2,2,2,2,2,2
28221113_4664,0,0,0,0,0,0
28221113_4666,0,0,0,0,0,0
28221911_2747,0,0,0,0,0,0
28221911_2826,0,0,0,0,0,0
28221911_2840,0,0,0,0,0,0
28221911_2841,0,0,0,0,0,0
28221911_2865,1,1,1,1,1,1
28221911_2878,0,0,0,0,0,0
28222015_403,0,0,0,0,0,0
28222015_409,0,0,0,0,0,0
28222015_413,1,1,1,1,1,1
