,13_4-F,1345-S1,1345-5-S2,1345-54-S3,1345-544-S4
28166317_1056,0,0,0,0,0
28166317_963,1,1,1,1,1
28166317_969,1,1,1,1,1
28168451_381,1,1,1,2,2
28169166_1094,1,1,1,1,1
28169166_1157,0,0,0,0,0
28169166_894,1,1,1,1,1
28172411_1974,1,1,1,1,1
28172411_1975,1,1,1,1,1
28172411_2045,0,0,0,0,0
28172901_199,0,0,0,0,0
28173112_1790,0,0,0,0,0
28174220_1890,0,0,0,0,0
28175193_2593,1,1,1,1,1
28175193_2632,1,1,1,1,1
28175193_2654,1,1,1,1,1
28175193_2664,1,1,1,1,1
28175193_2671,1,1,1,1,1
28175193_2672,0,0,0,0,0
28175193_2674,1,1,1,1,1
28175193_2680,0,0,0,0,0
28175193_2687,1,1,1,1,1
28175193_2710,0,0,0,0,0
28175193_2723,0,0,0,0,0
28176026_544,0,0,0,0,0
28176026_564,1,1,1,1,1
28176026_627,0,0,0,0,0
28176026_696,1,1,1,1,1
28176026_726,1,1,1,1,1
28176026_728,0,0,0,0,0
28176831_494,0,0,0,0,0
28176831_552,1,1,1,1,1
28176831_556,0,0,0,0,0
28176831_563,0,0,0,0,0
28176831_585,0,0,0,0,0
28178873_231,1,1,1,1,1
28178873_271,1,1,1,1,1
28182045_500,1,1,1,1,1
28182045_553,1,1,1,1,1
28182045_557,1,1,1,1,1
28183414_496,0,0,0,0,0
28183414_504,0,0,0,0,0
28183414_695,1,1,1,1,1
28185651_5063,1,1,1,1,1
28185651_5181,1,1,1,1,1
28186833_151,0,0,0,0,0
28186833_170,0,0,0,0,0
28186833_99,0,0,0,0,0
28186905_353,1,1,1,1,1
28186905_395,0,0,0,0,0
28186905_396,1,1,1,0,0
28186905_437,1,1,1,1,1
28187955_1023,1,1,1,1,1
28187955_1070,0,0,0,0,0
28187955_1108,1,1,1,1,1
28187955_1110,0,0,0,0,0
28187955_1163,1,1,1,1,1
28187955_1220,0,0,0,0,0
28187955_1267,0,0,0,0,0
28189582_726,1,1,1,1,1
28189582_766,0,0,0,0,0
28189712_529,2,2,2,2,2
28189712_530,2,2,2,2,2
28189712_567,0,0,0,0,0
28189712_615,0,0,0,0,0
28189804_527,1,1,1,1,1
28189804_545,0,0,0,0,0
28189804_546,0,0,0,0,0
28189804_578,0,0,0,0,0
28189804_582,1,1,1,1,1
28189804_598,1,1,1,1,1
28189804_623,1,1,1,1,1
28189804_627,1,1,1,1,1
28189804_633,0,0,0,0,0
28189804_636,0,0,0,0,0
28189804_655,1,1,1,1,1
28189804_691,0,0,0,0,0
28190152_3542,1,0,0,0,0
28191375_115,0,0,0,0,0
28191375_198,1,1,1,1,1
28191375_217,1,1,1,1,1
28191386_6048,1,1,1,1,1
28191386_6086,0,0,0,0,0
28191386_6100,0,0,0,0,0
28191386_6145,0,0,0,0,0
28191386_6238,1,1,1,1,1
28191386_6246,0,0,0,0,0
28191386_6259,0,0,0,0,0
28191386_6269,0,0,0,0,0
28191386_6294,1,1,1,1,1
28192406_163,1,1,1,1,1
28192406_219,0,0,0,0,0
28192406_274,1,1,1,1,1
28192406_275,1,1,1,1,1
28192759_455,1,1,1,0,0
28192759_503,1,1,1,0,0
28192759_531,1,1,1,1,1
28192759_553,0,0,0,0,0
28192759_591,0,0,0,0,0
28192759_609,0,0,0,0,0
28192759_651,1,1,1,1,0
28193251_335,1,1,2,2,2
28193251_342,0,0,0,0,0
28193251_350,0,0,0,0,0
28193251_354,0,0,0,0,0
28193251_359,0,0,0,0,0
28193251_408,0,0,0,0,0
28193251_443,0,0,0,0,0
28193251_447,0,0,0,0,0
28193867_1275,1,2,2,2,2
28193867_1323,0,0,0,0,0
28193867_1329,1,1,1,1,1
28193867_1389,1,1,1,1,1
28194901_400,0,0,0,0,0
28194901_466,0,0,0,0,0
28194901_472,0,0,0,0,0
28194901_488,1,1,1,1,0
28194901_498,1,1,1,1,0
28194901_571,0,0,0,0,0
28194901_616,1,1,1,1,1
28194901_619,1,1,1,1,1
28194901_633,0,0,0,0,0
28194901_651,1,1,1,0,0
28199523_183,2,2,2,2,2
28200142_914,1,1,1,1,1
28200142_943,1,1,1,1,1
28200142_965,1,1,1,1,1
28200142_989,0,0,0,0,0
28200142_999,1,1,1,1,1
28201521_724,0,0,0,0,0
28202325_434,0,0,0,0,0
28202325_529,1,2,2,2,2
28202325_533,1,2,2,2,2
28202331_579,0,0,0,0,0
28203107_526,0,0,0,0,0
28203765_2838,1,1,1,1,1
28203765_2877,0,0,0,0,0
28203765_2918,1,1,1,1,0
28203765_2920,1,1,1,1,0
28208394_1908,0,0,0,0,0
28208394_2111,0,0,0,0,0
28209353_291,1,2,2,2,2
28209353_316,1,2,2,2,2
28209708_1046,0,0,0,0,0
28209708_1128,1,1,1,1,1
28210049_285,0,0,0,0,0
28210095_649,1,1,1,0,0
28210095_734,1,0,0,0,0
28210095_777,1,1,1,1,1
28210095_853,1,1,1,1,1
28210418_6944,0,0,0,0,0
28211226_1176,1,1,1,1,1
28211226_1295,1,2,2,2,2
28211226_1296,1,2,2,2,2
28211890_429,0,0,0,0,0
28211890_443,0,0,0,0,0
28211890_450,0,0,0,0,0
28211890_467,1,1,1,1,1
28211890_476,0,0,0,0,0
28211890_481,1,1,1,0,0
28211890_519,0,0,0,0,0
28211890_529,1,1,1,1,1
28211890_542,1,1,1,1,1
28211890_588,0,0,0,0,0
28211890_665,0,0,0,0,0
28211890_667,1,1,1,1,1
28211890_687,0,0,0,0,0
28211890_690,1,1,1,1,1
28211890_698,1,1,1,1,1
28211890_707,0,0,0,0,0
28211890_740,0,0,0,0,0
28211890_770,0,0,0,0,0
28211890_791,0,0,0,0,0
28212607_434,1,1,1,1,1
28212607_435,0,0,0,0,0
28212607_453,1,1,1,1,1
28212607_456,1,1,1,1,1
28212607_458,1,1,1,1,1
28212607_465,1,1,1,1,1
28212607_470,0,0,0,0,0
28212607_471,0,0,0,0,0
28212607_475,1,1,1,1,1
28212607_486,1,1,1,1,1
28212607_488,0,0,0,0,0
28212607_495,1,1,1,1,1
28212607_500,0,0,0,0,0
28212607_518,0,0,0,0,0
28212607_522,1,1,1,1,1
28212607_535,1,1,1,1,1
28212607_539,0,0,0,0,0
28212607_544,1,1,1,1,1
28212607_545,0,0,0,0,0
28212607_552,1,1,1,1,1
28212607_575,0,0,0,0,0
28212607_584,0,0,0,0,0
28212607_589,0,0,0,0,0
28212607_591,0,0,0,0,0
28212607_595,0,0,0,0,0
28212607_624,0,0,0,0,0
28212607_629,0,0,0,0,0
28212607_673,0,0,0,0,0
28212607_687,0,0,0,0,0
28212607_734,0,0,0,0,0
28213126_917,1,1,1,1,1
28219388_1316,0,0,0,0,0
28219388_1317,0,0,0,0,0
28219388_1377,1,1,1,1,1
28219388_1459,1,1,1,1,1
28219388_1476,0,0,0,0,0
28221113_4389,0,0,0,0,0
28221113_4411,2,2,2,2,2
28221113_4458,0,0,0,0,0
28221113_4466,0,0,0,0,0
28221113_4471,0,0,0,0,0
28221113_4474,0,0,0,0,0
28221113_4475,0,0,0,0,0
28221113_4502,0,0,0,0,0
28221113_4515,0,0,0,0,0
28221113_4519,0,0,0,0,0
28221113_4527,1,1,1,1,1
28221113_4549,0,0,0,0,0
28221113_4566,1,1,1,1,1
28221113_4608,0,0,0,0,0
28221113_4645,2,2,2,2,2
28221113_4664,0,0,0,0,0
28221113_4666,0,0,0,0,0
28221911_2747,0,0,0,0,0
28221911_2826,0,0,0,0,0
28221911_2840,0,0,0,0,0
28221911_2841,1,1,1,1,1
28221911_2865,0,0,0,0,0
28221911_2878,1,1,1,1,1
28222015_403,0,0,0,0,0
28222015_409,0,0,0,0,0
28222015_413,1,1,1,1,1
28222015_417,1,1,1,1,1
28222015_462,0,0,0,0,0
28222015_468,0,0,0,0,0
28222015_469,2,2,2,2,2
28222015_520,2,2,2,2,2
28222015_531,0,0,0,0,0
28222015_556,0,0,0,0,0
28222015_569,0,0,0,0,0
28222015_573,0,0,0,0,0
28222015_610,0,0,0,0,0
28222015_680,0,0,0,0,0
28222015_693,0,0,0,0,0
28222015_703,1,1,1,1,1
28222105_4529,2,2,2,2,2
28222105_4646,2,2,2,2,2
28223716_456,1,1,1,1,1
28223716_503,0,0,0,0,0
28223716_598,1,2,2,2,2
28225927_2454,1,1,1,1,1
28225927_2464,1,1,1,1,1
28225927_2507,1,1,1,1,1
28225927_2517,1,1,1,1,1
28225927_2561,1,1,1,1,1
28225927_2579,1,1,1,1,1
28225927_2600,0,0,0,0,0
28225927_2609,1,1,1,1,1
28225927_2623,0,0,0,0,0
28225927_2657,1,1,1,1,1
28229852_4693,1,1,1,1,1
28229852_4712,1,1,1,0,0
28230922_525,1,1,1,1,0
28230922_563,0,0,0,0,0
28230922_597,0,0,0,0,0
28230922_600,0,0,0,0,0
28230922_602,0,0,0,0,0
28230922_627,0,0,0,0,0
28231171_1349,0,0,0,0,0
28231171_1377,0,0,0,0,0
28231171_1460,0,0,0,0,0
28235015_148,1,2,2,2,2
28311128_2464,2,2,2,2,2
28311128_2514,2,2,2,2,2
28311128_2572,2,2,2,2,2
28317569_5060,2,2,2,2,2
28317569_5069,2,2,2,2,2
28317569_5146,0,0,0,0,0
28317569_5277,2,2,2,2,2
