,7_2-F,721-S1,721-2-S2,721-21-S3,721-211-S4
28176831_585,0,0,0,0,0
28178873_161,1,1,1,1,1
28183414_496,0,0,0,0,0
28183414_504,0,0,0,0,0
28185651_5063,1,1,1,1,1
28186833_99,0,0,0,0,0
28186905_395,1,1,1,1,1
28186905_396,0,0,0,0,0
28187955_1220,0,0,0,0,0
28187955_1267,0,0,0,0,0
28189582_766,0,0,0,0,0
28189712_529,0,0,0,0,0
28189712_530,0,0,0,0,0
28189804_527,1,1,2,2,2
28189804_546,0,0,0,0,0
28189804_578,0,0,0,0,0
28189804_633,1,0,0,0,0
28189804_636,0,0,0,0,0
28190152_3542,1,1,1,1,1
28191375_217,0,0,0,0,0
28191386_6048,1,1,1,1,1
28191386_6246,1,1,1,1,1
28191386_6259,1,1,1,1,1
28191386_6269,1,1,1,1,1
28191386_6294,1,1,1,NA,0
28192406_219,0,0,0,0,0
28192759_455,1,1,1,1,1
28192759_503,1,1,1,1,1
28192759_531,1,1,1,1,1
28192759_609,1,1,1,NA,0
28192759_651,1,0,0,0,0
28193251_354,0,0,0,0,0
28193251_359,0,0,0,0,0
28193251_408,0,0,0,0,0
28193251_443,0,0,0,0,0
28194901_400,0,0,0,0,0
28194901_466,0,0,0,0,0
28194901_472,1,1,1,1,1
28194901_571,0,0,0,0,0
28194901_633,1,1,1,1,1
28200142_989,0,0,0,0,0
28201521_724,0,0,0,0,0
28202325_434,0,0,0,0,0
28202325_529,2,2,2,2,2
28202325_533,2,2,2,2,2
28202331_579,0,0,0,0,0
28203765_2877,0,0,0,0,0
28208394_1908,0,0,0,0,0
28209708_1046,0,0,0,0,0
28209708_1128,1,1,1,1,1
28210049_285,0,0,0,0,0
28210095_649,1,1,1,1,1
28210095_734,0,0,0,0,0
28210095_853,1,1,1,1,1
28210418_6944,0,0,0,0,0
28211890_429,0,0,0,0,0
28211890_443,0,0,0,0,0
28211890_450,0,0,0,0,0
28211890_476,0,0,0,0,0
28211890_481,1,1,1,1,1
28211890_519,0,0,0,0,0
28211890_687,0,0,0,0,0
28211890_707,0,0,0,0,0
28211890_740,1,1,1,1,1
28211890_791,0,0,0,0,0
28212607_458,2,2,2,2,2
28212607_545,0,0,0,0,0
28212607_629,0,0,0,0,0
28219388_1377,0,0,0,0,0
28219388_1476,0,0,0,0,0
28221113_4389,0,0,0,0,0
28221113_4411,1,2,2,2,2
28221113_4608,0,0,0,0,0
28221113_4645,2,2,2,2,2
28221113_4664,0,0,0,0,0
28221113_4666,0,0,0,0,0
28221911_2747,1,0,0,0,0
28221911_2826,1,0,0,0,0
28221911_2840,0,0,0,0,0
28221911_2841,0,0,0,0,0
28221911_2865,1,1,1,1,1
28221911_2878,0,0,0,0,0
28222015_413,0,0,0,0,0
28222015_468,1,0,0,0,0
28222015_469,1,1,1,1,1
28222015_556,0,0,0,0,0
28222015_573,0,0,0,0,0
28222015_610,1,1,1,NA,0
28222105_4529,0,0,0,0,0
28223716_503,0,0,0,0,0
28225927_2600,0,0,0,0,0
28225927_2609,1,1,1,1,1
28225927_2623,0,0,0,0,0
28225927_2657,1,1,1,1,1
28230922_563,0,0,0,0,0
28230922_627,0,0,0,0,0
28231171_1460,0,0,0,0,0
28311128_2464,1,1,1,NA,0
28311128_2514,1,1,1,NA,0
28311128_2572,1,1,1,NA,0
28317569_5060,1,2,2,2,2
28317569_5069,1,2,2,2,2
28317569_5681,1,2,2,2,2
28322358_2328,0,0,0,0,0
28322358_2329,0,0,0,0,0
28322358_2348,0,0,0,0,0
28322358_2349,0,0,0,0,0
28322358_2371,0,0,0,0,0
28322358_2377,0,0,0,0,0
28322358_2395,0,0,0,0,0
28322358_2397,0,0,0,0,0
28322358_2406,1,1,1,NA,0
28328279_5032,0,0,0,0,0
28328279_5042,0,0,0,0,0
28335906_383,1,0,0,0,0
28335906_406,1,0,0,0,0
28335906_417,1,0,0,0,0
28335906_440,1,1,1,NA,2
28335906_461,1,1,1,NA,2
28335906_472,0,0,0,0,0
28335906_490,1,1,1,NA,2
28335906_495,1,1,1,NA,0
28335906_505,0,0,0,0,0
28337450_6501,0,0,0,0,0
28337450_6549,1,0,0,0,0
28337450_6585,0,0,0,0,0
28341080_5826,0,0,0,0,0
28341080_5835,2,2,2,2,2
28344428_2515,0,0,0,0,0
28358534_518,0,0,0,0,0
28358534_557,2,2,2,2,2
28358534_559,2,2,2,2,2
28363539_2496,0,0,0,0,0
28363539_2645,1,1,1,NA,0
28364013_6515,0,0,0,0,0
28364013_6566,0,0,0,0,0
28364013_6585,0,0,0,0,0
28364013_6589,0,0,0,0,0
28365538_6235,1,1,1,1,1
28365538_6254,1,2,2,2,2
28367983_508,1,0,0,0,0
28367983_560,1,0,0,0,0
28367983_576,1,0,0,0,0
28381674_2555,1,1,1,1,1
28381674_2564,1,1,1,1,1
28381674_2590,1,1,1,1,1
28381674_2599,1,1,1,1,1
28381674_2601,0,0,0,0,0
28390819_2898,0,0,0,0,0
28414616_2664,0,0,0,0,0
28421931_501,0,0,0,0,0
28421931_516,0,0,0,0,0
28422837_2402,1,1,1,1,1
28422837_2414,1,1,1,1,1
28422837_2438,1,1,1,1,1
28422837_2441,0,0,0,0,0
28422837_2452,0,0,0,0,0
28422837_2527,0,0,0,0,0
28422837_2570,0,0,0,0,0
28422837_2605,2,2,2,2,2
28422837_2653,0,0,0,0,0
28429502_412,0,0,0,0,0
28429502_414,0,0,0,0,0
28429502_425,0,0,0,0,0
28429502_503,0,0,0,0,0
28429502_527,0,0,0,0,0
28429502_558,0,0,0,0,0
28430478_3086,0,0,0,0,0
28430478_3235,0,0,0,0,0
28432194_2199,1,1,1,NA,2
28438600_2571,1,0,0,0,0
28439869_4503,0,0,0,0,0
28439869_4516,0,0,0,0,0
28439869_4523,0,0,0,0,0
28439869_4569,1,1,1,1,1
28439869_4577,0,0,0,0,0
28439869_4583,1,1,1,NA,2
28439869_4584,1,1,1,NA,2
28439869_4594,0,0,0,0,0
28439869_4603,1,1,1,NA,2
28439869_4623,0,0,0,0,0
28439869_4624,0,0,0,0,0
28439869_4632,1,1,1,NA,2
28439869_4666,0,0,0,0,0
28439869_4669,0,0,0,0,0
28439869_4694,0,0,0,0,0
28439869_4700,0,0,0,0,0
28446824_1085,1,1,1,1,1
28446824_1108,1,1,0,0,0
28446824_1149,0,0,0,0,0
28446824_1162,0,0,0,0,0
28446824_1188,1,1,1,1,1
28446824_1207,0,0,0,0,0
28446824_1212,0,0,0,0,0
28446824_1218,0,0,0,0,0
28453941_1441,0,0,0,0,0
28453941_1463,0,0,0,0,0
28453941_1477,0,0,0,0,0
28453941_1493,0,0,0,0,0
28453941_1495,0,0,0,0,0
28453941_1503,0,0,0,0,0
28453941_1508,0,0,0,0,0
28453941_1512,0,0,0,0,0
28453941_1513,0,0,0,0,0
28453941_1528,0,0,0,0,0
28453941_1534,0,0,0,0,0
28453941_1553,0,0,0,0,0
28453941_1554,0,0,0,0,0
28453941_1556,0,0,0,0,0
28453941_1558,0,0,0,0,0
28453941_1560,0,0,0,0,0
28453941_1587,0,0,0,0,0
28453941_1642,0,0,0,0,0
28453941_1643,0,0,0,0,0
28453941_1661,0,0,0,0,0
28453941_1664,0,0,0,0,0
28453941_1667,0,0,0,0,0
28453941_1683,0,0,0,0,0
28454832_6791,2,2,2,2,2
28454832_6792,2,2,2,2,2
28454832_6808,2,2,2,2,2
28454832_6894,2,2,2,2,2
28454832_6926,2,2,2,2,2
28455147_1393,2,2,2,2,2
28455147_1405,1,1,1,1,1
28455147_1420,1,1,1,NA,0
28458922_2485,0,0,0,0,0
28458922_2506,0,0,0,0,0
28458922_2511,0,0,0,0,0
28458922_2558,0,0,0,0,0
28458922_2594,0,0,0,0,0
28458922_2604,0,0,0,0,0
28459035_1480,0,0,0,0,0
28462371_4609,0,0,0,0,0
28462815_6452,1,1,1,1,1
28462815_6509,1,1,1,1,1
28462815_6543,1,1,1,1,1
28462815_6563,0,0,0,0,0
28462815_6588,0,0,0,0,0
28477215_4960,0,0,0,0,0
28477215_5030,0,0,0,0,0
28481182_2601,1,1,0,0,0
28482775_1181,0,0,0,0,0
28483315_5419,0,0,0,0,0
28483315_5514,0,0,0,0,0
28486405_481,1,2,2,2,2
28486405_493,1,2,2,2,2
28486405_632,1,2,2,2,2
28486405_651,0,0,0,0,0
28488778_2323,1,1,1,NA,0
28488778_2358,1,1,1,NA,0
28488778_2461,1,1,1,NA,0
28488778_2466,1,1,1,NA,0
28496243_4037,0,0,0,0,0
28496243_4039,0,0,0,0,0
28496911_6585,0,0,0,0,0
28496911_6635,0,0,0,0,0
28499031_2843,1,1,1,NA,2
28499031_2844,1,1,1,NA,2
28503057_5736,0,0,0,0,0
28516380_7127,0,0,0,0,0
28516380_7150,0,0,0,0,0
28528639_694,1,1,1,1,1
28528639_726,1,0,0,0,0
28535157_6452,1,0,0,0,0
28536438_1011,0,0,0,0,0
28541923_5072,0,0,0,0,0
28541923_5077,0,0,0,0,0
28545283_4536,0,0,0,0,0
28548805_5411,0,0,0,0,0
28549730_2555,0,0,0,0,0
28552192_3502,1,0,0,0,0
28563923_2984,0,0,0,0,0
28563923_3006,0,0,0,0,0
28563923_3012,0,0,0,0,0
28563923_3069,0,0,0,0,0
28565143_4306,0,0,0,0,0
28570372_2363,0,0,0,0,0
28570372_2483,0,0,0,0,0
28570372_2487,0,0,0,0,0
28570372_2554,0,0,0,0,0
28573260_2569,2,2,2,2,2
28573260_2593,1,2,2,2,2
28573260_2599,1,0,0,0,0
28573260_2604,1,0,0,0,0
28573260_2605,1,0,0,0,0
28580047_2219,0,0,0,0,0
28581233_1567,1,0,0,0,0
28581233_2151,1,0,0,0,0
28581233_2329,1,0,0,0,0
28604918_6861,1,1,1,NA,2
28604918_6885,1,1,1,NA,2
28604918_6907,1,1,1,NA,2
28604918_6949,0,0,0,0,0
28610758_7361,0,0,0,0,0
28610758_7423,0,0,0,0,0
28610989_543,0,0,0,0,0
28610989_581,0,0,0,0,0
28610989_587,0,0,0,0,0
28610989_604,0,0,0,0,0
28610989_619,0,0,0,0,0
28611099_7078,0,0,0,0,0
28611099_7129,1,2,2,2,2
28611099_7172,2,2,2,2,2
28612003_8123,1,1,1,NA,0
28623147_528,1,1,1,NA,0
28623147_535,1,1,1,NA,0
28628206_4156,0,0,0,0,0
28628206_4195,0,0,0,0,0
28628206_4197,0,0,0,0,0
28628206_4210,0,0,0,0,0
28628206_4216,0,0,0,0,0
28628206_4233,0,0,0,0,0
28628206_4234,0,0,0,0,0
28640187_2505,0,0,0,0,0
28640187_2530,1,1,1,NA,2
28640187_2569,1,1,1,NA,2
28640187_2583,1,1,1,NA,2
28640187_2594,1,1,1,NA,2
28641128_10103,2,2,2,2,2
28641128_10343,0,0,0,0,0
28641128_10364,0,0,0,0,0
28641128_10377,0,0,0,0,0
28641128_10393,0,0,0,0,0
28650929_3693,1,0,0,0,0
28650929_3764,1,0,0,0,0
28662839_1977,1,0,0,0,0
28662839_1993,1,0,0,0,0
28664203_6724,2,2,2,2,2
28668574_533,0,0,0,0,0
28668574_655,0,0,0,0,0
28671596_1032,0,0,0,0,0
28671596_891,1,1,2,2,2
28675799_1044,0,0,0,0,0
28675799_1062,1,0,0,0,0
28675799_1086,0,0,0,0,0
28675799_1153,0,0,0,0,0
28675799_1159,0,0,0,0,0
28675799_1192,1,0,0,0,0
28680087_502,0,0,0,0,0
28680087_561,2,2,2,2,2
28680637_8145,1,2,2,2,2
28682875_1452,1,0,0,0,0
28682875_1745,1,1,1,1,1
28682875_1767,1,1,1,1,1
28682875_1773,1,0,0,0,0
28682875_1825,0,0,0,0,0
28694473_626,2,2,2,2,2
28695874_5272,1,0,0,0,0
28699912_2631,1,2,2,2,2
28702104_6283,1,2,2,2,2
28711267_2459,1,2,2,2,2
28711349_2561,0,0,0,0,0
28711349_2586,0,0,0,0,0
28711358_5329,0,0,0,0,0
28711358_5343,0,0,0,0,0
287141251_1389,0,0,0,0,0
287141251_1706,1,1,1,1,1
287141251_1846,0,0,0,0,0
28720981_4034,1,1,1,NA,0
28720981_4128,0,0,0,0,0
28720981_4183,0,0,0,0,0
28720981_4187,0,0,0,0,0
28724429_958,1,1,0,0,0
28727121_732,1,1,1,NA,2
28727121_743,1,1,1,NA,2
28727121_785,0,0,0,0,0
28727121_791,1,1,1,NA,2
28727121_796,1,1,1,NA,2
28727121_834,1,1,1,NA,2
28727121_861,1,1,1,NA,2
28730041_8577,0,0,0,0,0
28730802_636,0,0,0,0,0
28734945_619,0,0,0,0,0
28734945_634,0,0,0,0,0
28734945_641,0,0,0,0,0
28734945_645,0,0,0,0,0
28734945_646,0,0,0,0,0
28734945_665,0,0,0,0,0
28734945_691,0,0,0,0,0
28737940_1000,0,0,0,0,0
28737940_871,0,0,0,0,0
28747967_7404,0,0,0,0,0
28758155_5168,1,1,1,1,1
28769454_8787,1,1,1,1,1
28769454_8802,1,1,1,1,1
28774788_6497,0,0,0,0,0
28774788_6516,1,2,2,2,2
28774788_6604,0,0,0,0,0
28774788_6634,0,0,0,0,0
28777453_2817,0,0,0,0,0
28777453_2833,0,0,0,0,0
28777453_3064,0,0,0,0,0
28777453_3081,0,0,0,0,0
28801584_2329,0,0,0,0,0
28801584_2346,0,0,0,0,0
28801584_2400,0,0,0,0,0
28801584_2416,0,0,0,0,0
28801584_2436,0,0,0,0,0
28801584_2440,0,0,0,0,0
28801584_2484,0,0,0,0,0
28802725_2632,0,0,0,0,0
28807472_2611,0,0,0,0,0
28808277_3044,1,1,1,1,1
28808277_3069,1,1,1,1,1
28808277_3071,1,1,1,1,1
28808277_3112,0,0,0,0,0
28808277_3188,1,1,1,1,1
28808277_3223,1,1,1,1,1
28810525_5401,2,2,2,2,2
28810837_5258,0,0,0,0,0
28812475_2488,0,0,0,0,0
28812475_2596,0,0,0,0,0
28814400_2492,0,0,0,0,0
28814400_2510,0,0,0,0,0
28819086_14252,2,2,2,2,2
28819086_14276,2,2,2,2,2
28819086_14300,2,2,2,2,2
28819086_14315,0,0,0,0,0
28819086_14316,1,2,2,2,2
28819086_14356,1,2,2,2,2
28833999_4575,0,0,0,0,0
28880246_2572,0,0,0,0,0
28893556_2532,1,1,1,1,1
28896294_4554,0,0,0,0,0
28896294_4595,0,0,0,0,0
28902006_4372,0,0,0,0,0
28902006_4374,0,0,0,0,0
28902006_4376,0,0,0,0,0
28902006_4394,0,0,0,0,0
28902006_4397,0,0,0,0,0
28902006_4418,0,0,0,0,0
28902006_4427,1,1,1,1,1
28902006_4429,0,0,0,0,0
28902006_4510,0,0,0,0,0
28902006_4552,1,1,1,1,1
28902006_4554,0,0,0,0,0
28907044_7342,1,1,1,1,1
28907044_7374,1,1,1,1,1
28907044_7596,0,0,0,0,0
28908215_7023,0,0,0,0,0
28914517_3491,0,0,0,0,0
28920448_4636,0,0,0,0,0
28920448_4658,1,0,0,0,0
28920448_4660,1,1,1,1,1
28920448_4717,1,1,1,1,1
28920448_4724,0,0,0,0,0
28920448_4760,1,1,1,1,1
28920448_4793,1,1,1,1,1
28933362_2467,0,0,0,0,0
28933362_2508,0,0,0,0,0
28951204_6147,1,1,0,0,0
28951204_6154,0,0,0,0,0
28951204_6177,1,1,0,0,0
28951204_6246,0,0,0,0,0
28951204_6257,1,1,0,0,0
28951204_6269,0,0,0,0,0
28951204_6337,0,0,0,0,0
28951204_6354,0,0,0,0,0
28967841_2832,0,0,0,0,0
28985533_4616,0,0,0,0,0
28999681_4471,0,0,0,0,0
28999681_4638,0,0,0,0,0
29004223_2844,1,1,1,1,1
29004223_2871,0,0,0,0,0
29004223_2966,1,1,1,1,1
29005091_2495,1,0,0,0,0
29005091_2627,1,0,0,0,0
29005091_2647,1,0,0,0,0
29013940_2439,0,0,0,0,0
29013940_2442,0,0,0,0,0
29013940_2494,1,1,1,NA,0
29013940_2533,0,0,0,0,0
29017501_6016,0,0,0,0,0
29017501_6021,0,0,0,0,0
29017501_6048,0,0,0,0,0
29024438_866,0,0,0,0,0
29024438_877,0,0,0,0,0
29024438_886,0,0,0,0,0
29024438_889,0,0,0,0,0
29025249_1345,0,0,0,0,0
29025249_1553,0,0,0,0,0
29028590_3654,1,1,1,NA,0
29028590_3666,1,1,1,NA,0
29042690_585,0,0,0,0,0
29049877_277,0,0,0,0,0
29056728_2522,1,0,0,0,0
29056728_2527,1,0,0,0,0
29056728_2555,1,0,0,0,0
29056728_2558,1,0,0,0,0
29059015_1261,1,1,0,0,0
29074663_5784,0,0,0,0,0
29074663_5855,0,0,0,0,0
2908517_675,0,0,0,0,0
2908517_676,0,0,0,0,0
29088261_757,1,2,2,2,2
29088261_801,0,0,0,0,0
29088261_860,0,0,0,0,0
29099783_2517,1,1,1,NA,0
29099783_2519,0,0,0,0,0
29101419_4780,0,0,0,0,0
29104748_2781,0,0,0,0,0
29104748_2909,0,0,0,0,0
29104748_2928,0,0,0,0,0
29104748_2951,0,0,0,0,0
29104748_2953,0,0,0,0,0
29104748_2962,0,0,0,0,0
29104748_2974,0,0,0,0,0
29109334_2507,0,0,0,0,0
29109334_2668,0,0,0,0,0
29113108_5044,0,0,0,0,0
29114257_2639,1,1,1,NA,2
29114849_6668,2,2,2,2,2
29114849_6677,2,2,2,2,2
29114849_6700,2,2,2,2,2
29114849_6803,2,2,2,2,2
29126773_4129,0,0,0,0,0
29126773_4320,0,0,0,0,0
29130248_3364,0,0,0,0,0
29130248_3369,0,0,0,0,0
29136051_2516,0,0,0,0,0
29136051_2572,0,0,0,0,0
29136377_1941,1,0,0,0,0
29137914_8919,0,0,0,0,0
29140063_2556,2,2,2,2,2
29151026_2552,0,0,0,0,0
29151026_2602,1,1,2,2,2
29155649_3716,0,0,0,0,0
29155649_3748,0,0,0,0,0
29155649_3787,0,0,0,0,0
29155649_3819,0,0,0,0,0
29155649_3830,0,0,0,0,0
29155649_3831,0,0,0,0,0
29155649_3888,0,0,0,0,0
29155649_3890,0,0,0,0,0
29155649_3947,0,0,0,0,0
29155649_3983,0,0,0,0,0
29155649_3994,0,0,0,0,0
29157070_1387,1,1,1,1,1
29161972_6944,0,0,0,0,0
29162197_1022,1,1,1,NA,0
29162197_1044,0,0,0,0,0
29162197_1045,0,0,0,0,0
29162197_1052,0,0,0,0,0
29162197_1065,0,0,0,0,0
29162197_1078,0,0,0,0,0
29162197_1103,0,0,0,0,0
29162197_1114,0,0,0,0,0
29166838_6443,1,1,2,2,2
29166838_6464,0,0,0,0,0
29173818_2709,0,0,0,0,0
29173818_2772,1,1,1,NA,0
29174845_4713,1,2,2,2,2
29174845_4733,0,0,0,0,0
29174845_4736,0,0,0,0,0
29174845_4791,0,0,0,0,0
29174845_4842,2,2,2,2,2
29174845_4859,0,0,0,0,0
29174845_4873,2,2,2,2,2
29174845_4874,0,0,0,0,0
29174845_4876,2,2,2,2,2
29174845_4941,2,2,2,2,2
29174845_4957,0,0,0,0,0
29174845_4959,1,1,1,NA,0
29180378_6177,1,1,1,NA,0
29180378_6243,1,1,1,NA,0
29180378_6313,1,1,0,0,0
29180378_6319,1,1,0,0,0
29180378_6320,1,1,0,0,0
29181264_6486,1,1,1,1,1
29181264_6677,0,0,0,0,0
29181264_6681,0,0,0,0,0
29181264_6682,0,0,0,0,0
29181264_6684,0,0,0,0,0
29181264_6688,0,0,0,0,0
29181264_6693,0,0,0,0,0
29181716_3977,1,0,0,0,0
29181716_4013,1,0,0,0,0
29181716_4103,0,0,0,0,0
29181716_4107,0,0,0,0,0
29181716_4135,1,0,0,0,0
29181914_676,0,0,0,0,0
29182178_7314,0,0,0,0,0
29182178_7355,0,0,0,0,0
29182178_7505,0,0,0,0,0
29182548_9819,0,0,0,0,0
29182548_9872,0,0,0,0,0
29182548_9893,0,0,0,0,0
29182548_9926,0,0,0,0,0
29182926_2509,0,0,0,0,0
29182926_2514,1,1,0,0,0
29182926_2526,0,0,0,0,0
29182926_2531,0,0,0,0,0
29182926_2534,0,0,0,0,0
29182926_2572,0,0,0,0,0
29182926_2575,0,0,0,0,0
29182926_2602,0,0,0,0,0
29182926_2604,0,0,0,0,0
29183901_1934,0,0,0,0,0
29183901_1935,0,0,0,0,0
29183901_2111,0,0,0,0,0
29183901_2169,1,1,1,1,1
29183981_3073,0,0,0,0,0
29183981_3079,1,1,1,1,1
29183981_3085,0,0,0,0,0
29184412_567,0,0,0,0,0
29184866_1862,0,0,0,0,0
29185024_4020,0,0,0,0,0
29185024_4057,1,1,1,NA,2
29185024_4067,1,1,1,NA,0
29185024_4089,0,0,0,0,0
29185024_4113,0,0,0,0,0
29185024_4126,1,1,1,NA,0
29185024_4127,0,0,0,0,0
29185024_4149,0,0,0,0,0
29185024_4170,1,1,1,NA,0
29185709_835,1,0,0,0,0
29186528_5003,2,2,2,2,2
29186728_672,0,0,0,0,0
29186831_3618,0,0,0,0,0
29186905_1064,1,0,0,0,0
29186905_1151,1,1,1,1,1
29186905_1154,0,0,0,0,0
29186905_1156,0,0,0,0,0
